Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
_externalAddMasternode(address),,False
_externalStopMasternode(address),,False
isMasternodeOwner(address),,False
userHasActiveNodes(address),,False
_externalArrangeFlow(),,False
rewardsProofOfWork(),,False
rewardsMasternode(),,False
masternodeIDcounter(),,False
masternodeCandidate(),,False
getUserFromID(uint),,False
userCounter(),,False
contractProgress(),,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
totalSupply(),totalSupply_,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
balanceOf(address),balances,False
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
setModifierContract(address),_internalMod,False
_contract_voting(),_internalMod,False
_contract_masternode(),_internalMod,False
_contract_token(),_internalMod,False
_contract_miner(),_internalMod,False
listAcceptedTokens(),tokensList,False
getTokenDetails(address),,False
"depositCollateral(address,uint)","tokens, tokens, tokens",True
"withdrawCollateral(address,uint)","tokens, tokens",True
constructor(),,False
upgradeTokens(address),"tokens, tokens, balances, balances",True
manualUpgradeTokens(address),"tokens, tokens",True
"manualUpgradePartialTokens(address,uint)","tokens, tokens",True
"getLockedTokens(address,address)",,False
approveManualUpgrade(address),"balances, balances",False
"declineManualUpgrade(address,address)","tokens, tokens",True
"replaceLockedTokens(address,address)","balances, balances",True
"rewardExternal(address,uint)","balances, balances",False
"addToWhitelistExternal(address,uint,uint)",,False
getMiningRewardForPool(),masternodeInterface,False
rewardsProofOfWork(),masternodeInterface,False
rewardsMasternode(),masternodeInterface,False
masternodeCounter(),masternodeInterface,False
contractProgress(),,False
setModifierContract(address),_internalMod,False
VoteModifierContract(address),_internalMod,False
"transferAnyERC20Token(address,uint)","owner, tokens",True
