Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
"transfer(address,uint)",,False
GOLDBITSCOIN(),"owner, owner, supply_increased, owner",True
setCentralAccount(address),central_account,False
StatPreICO(),"stage, supply_increased, perTokenPrice",False
StartICO(),"stage, supply_increased, perTokenPrice",False
end_ICO_PreICO(),"stage, supply_increased",False
getTokenPriceforDapp(),perTokenPrice,False
getEtherPriceforDapp(),one_ether_usd_price,False
"function()publicpayable{require(ICO_PRE_ICO_STAGE);require(stage>0);require(now<=enddate);distributeToken(msg.value,msg.sender);}()",stage,True
setconfigurationEtherPrice(uint),one_ether_usd_price,False
setconfigurationTokenPrice(uint),perTokenPrice,False
setStage(uint),stage,False
"transferby(address,address,uint256)",,False
mineToken(uint256),"supply_increased, _totalSupply, supply_increased, owner, owner",False
totalSupply(),_totalSupply,False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
transferOwnership(address),"owner, owner, owner",False
drain(),owner,True
