Function Name,State Variables Modified,Can Transfer Ether
supportsInterface(bytes4),,False
balanceOf(address),,False
ownerOf(uint256),,False
"safeTransferFrom(address,address,uint256,bytes)",,False
"safeTransferFrom(address,address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"setApprovalForAll(address,bool)",,False
getApproved(uint256),,False
"isApprovedForAll(address,address)",,False
name(),,False
symbol(),,False
tokenURI(uint256),,False
totalSupply(),,False
tokenByIndex(uint256),,False
"tokenOfOwnerByIndex(address,uint256)",,False
"transfer(address,uint256)",,False
"onTransfer(address,address,uint256)",,False
tokenURI(uint256),,False
"mintNonFungibleSingleShort(uint128,address)",,False
"mintNonFungibleSingle(uint256,address)",,False
"mintNonFungibleShort(uint128,)",,False
"mintNonFungible(uint256,)",,False
"mintFungibleSingle(uint256,address,uint256)",,False
"mintFungible(uint256,,)",,False
isNonFungible(uint256),,False
ownerOf(uint256),,False
totalSupplyNonFungible(uint256),,False
totalSupplyNonFungibleShort(uint128),,False
uri(uint256),,False
"proxyTransfer721(address,address,uint256,bytes)",,False
"proxyTransfer20(address,address,uint256,uint256)",,False
"balanceOf(address,uint256)",,False
"safeTransferFrom(address,address,uint256,uint256,bytes)",,False
constructor(),,True
isOwner(address),,False
addOwner(address),,False
removeOwner(address),,False
isOperator(address),,False
addOperator(address),,False
removeOperator(address),,False
"setup(,,uint256,string,string)","canSetup, erc1155, uriProvider, nftType, TYPE_NF_BIT, nftSymbol, nftName",False
disableSetup(),canSetup,False
name(),nftName,False
symbol(),nftSymbol,False
balanceOf(address),"erc1155, nftType",False
ownerOf(uint256),,False
tokenURI(uint256),uriProvider,False
totalSupply(),,False
tokenByIndex(uint256),,False
"tokenOfOwnerByIndex(address,uint256)",,False
"transfer(address,uint256)",,True
"onTransfer(address,address,uint256)",erc1155,True
supportsInterface(bytes4),"INTERFACE_SIGNATURE_ERC721Metadata, INTERFACE_SIGNATURE_ERC721Enumerable",False
"safeTransferFrom(address,address,uint256,bytes)",,True
"safeTransferFrom(address,address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"setApprovalForAll(address,bool)",,False
getApproved(uint256),,False
"isApprovedForAll(address,address)",,False
