Function Name,State Variables Modified,Can Transfer Ether
constructor(address),permissions,False
"grantPermission(address,bytes32)","permissions, permissions",True
"grantMultiplePermissions(address,)",permissions,True
"revokePermission(address,bytes32)","permissions, permissions",True
"revokeMultiplePermissions(address,)",,False
"calculateTransferFee(address,address,uint)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
balanceOf(address),,False
"allowance(address,address)",,False
"transferNotification(address,uint256,uint)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
"delegatedTransfer(address,address,uint,string,uint,bytes32,bytes,uint)",,False
"delegatedTransferAndNotify(address,,uint,uint,uint,bytes32,bytes,uint)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
"issueTo(address,uint)",,False
burn(uint),,False
"transferAndNotify(,uint,uint)",,False
"transferWithNarrative(address,uint256,string)",,False
"transferFromWithNarrative(address,address,uint256,string)",,False
setName(string),,False
setSymbol(string),,False
"allowance(address,address)",,False
balanceOf(address),,False
"constructor(address,string,string,bytes32,uint8,)","name, symbol, peggedSymbol, decimals, feeAccount",False
"transfer(address,uint256)",,True
"delegatedTransfer(address,address,uint,string,uint,bytes32,bytes,uint)",,True
"approve(address,uint256)",allowed,True
"increaseApproval(address,uint)",allowed,True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"transferFrom(address,address,uint256)",,True
"issueTo(address,uint)","balances, balances, totalSupply, totalSupply",False
burn(uint),"balances, balances, balances, totalSupply, totalSupply",True
setFeeAccount(),feeAccount,False
"transferAndNotify(,uint,uint)",,True
"delegatedTransferAndNotify(address,,uint,uint,uint,bytes32,bytes,uint)",,True
"transferWithNarrative(address,uint256,string)",,True
"transferFromWithNarrative(address,address,uint256,string)",,True
setName(string),name,False
setSymbol(string),symbol,False
balanceOf(address),balances,False
"allowance(address,address)",allowed,False
"constructor(address,)",,False
