Function Name,State Variables Modified,Can Transfer Ether
MercatusDeals(),,False
getState(uint),deals,False
getStart(uint),deals,False
setVerified(uint),deals,False
setHalted(uint),"deals, deals, deals, deals, deals, deals, deals",True
"getSplit(uint,uint,uint,uint)",,False
"setFinished(uint,uint)","deals, deals, deals, deals, deals, deals, deals, deals, deals, deals, deals, deals, deals, deals, deals",True
getDealsCount(),deals,False
function()externalpayable{revert();}(),,False
"makeDeal(uint,uint,uint,uint,uint,string,address,string,address,uint,uint)","deals, deals, deals, deals",True
