Function Name,State Variables Modified,Can Transfer Ether
Ownable(),contractOwner,True
transferContractOwnership(address),"contractOwner, contractOwner",False
payoutFromContract(),contractOwner,True
"approve(address,uint256)",,False
balanceOf(address),,False
implementsERC721(),,False
ownerOf(uint256),,False
takeOwnership(uint256),,False
totalSupply(),,False
"transferFrom(address,address,uint256)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",kittyIdToApproved,True
balanceOf(address),ownershipTokenCount,False
create21KittiesTokens(),startingPrice,False
getKitty(uint256),"kitties, kittyIdToPrice, kittyIdToOwner",False
implementsERC721(),,False
name(),NAME,False
ownerOf(uint256),kittyIdToOwner,False
purchase(uint256),"kittyIdToOwner, kittyIdToPrice, kittyIdToDivs, kittyIdToPrice, kittyIdToPrice, kitties",True
changeKitty(uint256),"kittyIdToOwner, kittyIdToPrice, kittyIdToOwner, kittyIdToPrice",True
symbol(),SYMBOL,False
takeOwnership(uint256),kittyIdToOwner,True
priceOf(uint256),kittyIdToPrice,False
ALLownersANDprices(uint256),"kittyIdToOwner, kittyIdToDivs, kittyIdToPrice",False
tokensOfOwner(address),kittyIdToOwner,False
totalSupply(),kitties,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
