Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),owner,False
totalSupply(),,False
balanceOf(address),,False
ownerOf(uint256),,False
"approve(address,uint256)",,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
supportsInterface(bytes4),,False
setMonsterCreatorAddress(address),monsterCreator,False
setSecondsPerBlock(uint256),secondsPerBlock,False
"getMetadata(uint256,string)",,False
supportsInterface(bytes4),,False
setMetadataAddress(address),erc721Metadata,False
_isTradeable(uint256),monsterIdToTradeable,False
balanceOf(address),,False
"transfer(address,uint256)",,True
"approve(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
totalSupply(),,False
ownerOf(uint256),"owner, monsterIndexToOwner, owner",False
tokensOfOwner(address),monsterIndexToOwner,False
"tokenMetadata(uint256,string)","erc721Metadata, erc721Metadata",False
"MonsterAuction(address,uint256)","ownerCut, nonFungibleContract, core",False
setOwnerCut(uint256),"ownerCut, ownerCut",False
withdrawBalance(),owner,True
tokensInAuctionsOfOwner(address),"ownershipAuctionCount, core",False
"createAuction(uint256,uint256,address)","core, auctionIndex, auctionIdToSeller, auctionIndex, ownershipAuctionCount, auctionIndex",True
buy(uint256),,True
cancelAuction(uint256),,True
getAuction(uint256),,False
getPrice(uint256),,False
setMonsterAuctionAddress(address),monsterAuction,False
"createPromoMonster(uint256,address)","promoCreatedCount, PROMO_CREATION_LIMIT, promoCreatedCount, monsterCreator, monsterCreator, monsterIdToTradeable, monsterIdToIVs",False
"createGen0Auction(uint256,uint256)","gen0CreatedCount, GEN0_CREATION_LIMIT, monsterCreator, monsterCreator, monsterIdToTradeable, monsterIdToIVs, monsterAuction, gen0CreatedCount",False
contestChampion(uint256),"currChampion, core, core, core, addressToPowerlevel, addressToPowerlevel, currChampion, addressToPowerlevel, currChampion",True
getTopPlayers(),,False
MonsterChampionship(address),core,False
withdrawBalance(),owner,True
"rand(uint8,uint8)",,False
"shinyRand(uint16,uint16)",,False
"addBaseStats(uint256,)","baseStats, baseStats",False
MonsterCreatorInterface(),,False
getMonsterStats(uint256),"baseStats, baseStats, baseStats, baseStats, baseStats, baseStats, baseStats, baseStats",False
getMonsterIVs(),,False
getGen0IVs(),,False
withdrawBalance(),owner,True
GameLogicContract(),,False
ChainMonstersCore(),adminAddress,True
setGameLogicContract(address),monsterCreator,False
"spawnMonster(uint256,address)","monsterCreator, monsterCreator, monsterIdToTradeable, monsterIdToIVs",True
createArea(),,False
"createTrainer(string,uint16)","addressToTrainer, monsterCreator, monsterIdToIVs",True
changeUsername(string),"addressToTrainer, addressToTrainer",True
"changeMonsterNickname(uint256,string)",monsterIdToNickname,True
moveToArea(uint16),,True
getMonster(uint256),,False
getMonsterPowerLevel(uint256),monsterIdToIVs,False
isTrainer(address),addressToTrainer,False
withdrawBalance(),owner,True
launchGame(),,False
