Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
ownerOf(uint256),,False
owned(uint256),,False
"approve(address,uint256)",,False
getApproved(uint256),,False
"setApprovalForAll(address,bool)",,False
"isApprovedForAll(address,address)",,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
totalSupply(),,False
"tokenOfOwnerByIndex(address,uint256)",,False
tokenByIndex(uint256),,False
name(),,False
symbol(),,False
tokenURI(uint256),,False
"onERC721Received(address,uint256,bytes)",,False
balanceOf(address),ownedTokensCount,False
ownerOf(uint256),"tokenOwner, owner, owner",False
owned(uint256),"tokenOwner, owner",False
"approve(address,uint256)","owner, owner, owner, tokenApprovals, owner",True
getApproved(uint256),tokenApprovals,False
"setApprovalForAll(address,bool)",operatorApprovals,True
"isApprovedForAll(address,address)",operatorApprovals,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,True
"constructor(string,string,uint256)","name_, symbol_, totalSupply_",False
name(),name_,False
symbol(),symbol_,False
tokenURI(uint256),tokenURIs,False
totalSupply(),totalSupply_,False
"tokenOfOwnerByIndex(address,uint256)",ownedTokens,False
tokenByIndex(uint256),,False
supportsInterface(bytes4),,False
constructor(),"owner, contractInitializationTime, initializationDelay",True
setDatabaseDownloadUrl(string),databaseDownloadUrl,False
getCurrentEdition(),"contractInitializationTime, timeBetweenEditions",False
getEditionReleaseTime(uint),"contractInitializationTime, timeBetweenEditions",False
getEdition(uint),editionSize,False
isReleased(uint),,False
getReleaseAuctionEndTime(uint),timeBetweenEditions,False
releaseAuctionEnded(uint),,False
getHighestBidder(uint),,False
getHighestBid(uint),,False
getAdditionalTime(uint),,False
getRemainingTime(uint),,False
getAllTokens(address),"ownedTokens, owner, ownedTokens, owner",False
completeReleaseAuction(uint),"minimumBid, pendingWithdrawals, owner, pendingWithdrawals, owner",True
placeBid(uint),"minimumBid, timeBetweenEditions, pendingWithdrawals, pendingWithdrawals",True
withdraw(),"pendingWithdrawals, pendingWithdrawals, pendingWithdrawals",True
function()externalpayable{revert();}(),,False
