Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"constructor(uint256,uint256,address)","token, periodLength, amountPerPeriod",False
deposit(uint256),"depositedTime, depositedTime, depositedAmount, token",True
withdraw(),"depositedTime, depositedTime, periodLength, withdrawalByPeriod, token, amountPerPeriod, amountPerPeriod, withdrawalByPeriod, token",True
balance(),token,False
