Function Name,State Variables Modified,Can Transfer Ether
increaseProfit(),,False
constructor(),"owner, finance, jackpot",True
"function()publicpayable{if(msg.value>0){profit=msg.value.div(totalSupply).add(profit);emitAddProfit(msg.sender,msg.value,profit);}}()",totalSupply,True
increaseProfit(),totalSupply,True
totalSupply(),totalSupply,False
balanceOf(address),,False
"approve(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"allowance(address,address)",,False
"transfer(address,uint256)",,True
buy(uint256),"price, totalSupply, totalSold, finance, jackpot, totalSold",True
withdraw(),,True
getProfit(address),,False
setJackpot(address),jackpot,False
setFinance(address),finance,False
