Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
constructor(),"symbol, name, decimals, sysusermoney, sysoutmoney, sellPrice, buyPrice, sysPer, sysPer1, sysPer2, sysPer3, sysPer4, sysPrice1, sysPrice2, sysPrice3, sysPrice4, transper, upper1, upper2, upper3, upper4, upper5, upper6, teamper1, teamper2, outper1, outper2, outper3, outper4, sellper, actived, onceAddTime, systime1, systime2, systime3, systime4, permans, owner, financer, owner",True
balanceOf(address),,False
ethbalance(address),,False
getaddtime(address),"crontime, crontime",False
getmy(address),"crontime, buyPrice",False
geteam(address),"suns, suns, suns, suns, suns, suns, teamget, sysoutmoney, sysusermoney, sysminteth, suns, permans, suns, permans, suns, permans, suns, permans",False
getsys(),"sysoutmoney, sysusermoney, sysminteth, hasoutmony, hasbuymoney, hassellmoney, hasbuyeth, hasselleth",False
"transfer(address,uint)",,True
"intertransfer(address,address,uint)",,True
getfrom(address),fromaddr,False
"approve(address,uint)",,True
"transferFrom(address,address,uint)","actived, frozenAccount, frozenAccount",True
"allowance(address,address)",,False
"freezeAccount(address,bool)",frozenAccount,False
"setconf(uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint)","sysPrice1, sysPrice2, sysPrice3, sysPrice4, sysPer1, sysPer2, sysPer3, sysPer4, systime1, systime2, systime3, systime4",False
getconf(),"sysPrice1, sysPrice2, sysPrice3, sysPrice4, sysPer1, sysPer2, sysPer3, sysPer4, systime1, systime2, systime3, systime4",False
"setother(uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint)","onceAddTime, buyPrice, sellPrice, sysPer, transper, sellper, upper1, upper2, upper3, upper4, upper5, upper6",False
getother(),"onceAddTime, buyPrice, sellPrice, sysPer, transper, sellper, upper1, upper2, upper3, upper4, upper5, upper6",False
"setsysteam(uint,uint,uint,uint,uint,uint,uint,uint,uint,uint)","outper1, outper2, outper3, outper4, teamper1, teamper2, permans",False
getsysteam(),"outper1, outper2, outper3, outper4, teamper1, teamper2, permans, permans, permans, permans",False
setactive(bool),actived,False
settoken(address),intertoken,False
setadmin(address),owner,False
setfinancer(address),financer,False
totalSupply(),,False
"adduser(address,uint256)",,False
"subuser(address,uint256)",,False
"interadduser(address,uint256)",,False
"intersubuser(address,uint256)",,False
mintadd(),"frozenAccount, actived, sysPrice1, sysminteth, sysminteth, sysPrice4, mintnum, systime4, sysPrice3, mintnum, systime3, sysPrice2, mintnum, systime2, mintnum, systime1, crontime, onceAddTime",True
mintsub(),"frozenAccount, actived, mintnum, sysPrice1, outper1, sysPrice4, outper4, sysPrice3, outper3, sysPrice2, outper2, sysminteth, sysminteth, mintnum",True
mint(),"frozenAccount, actived, crontime, crontime, sysPer, sysPrice1, mintnum, sysPer1, sysPrice4, sysPer4, sysPrice3, sysPer3, sysPrice2, sysPer2, sysoutmoney, sysoutmoney, sysoutmoney, sysusermoney, sysusermoney, crontime, onceAddTime, mintnum, mintnum, sysminteth, sysminteth, fromaddr, upper1, fromaddr, upper2, fromaddr, upper3, fromaddr, upper4, fromaddr, upper5, fromaddr, upper6",True
getall(),,False
buy(),"actived, frozenAccount, buyPrice, sysusermoney, sysusermoney, hasbuymoney, hasbuymoney, hasbuyeth, hasbuyeth, owner",True
charge(),,False
function()payablepublic{buy();}(),,False
"withdraw(address,uint)","actived, frozenAccount",True
sell(uint256),"actived, frozenAccount, sellper, sellPrice, sysusermoney, sysusermoney, hassellmoney, hassellmoney, hasselleth, hasselleth",True
"addBalances(,)","sysusermoney, sysusermoney",False
"subBalances(,)","sysusermoney, sysusermoney",False
