Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
owner(),_owner,False
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),"_owner, _owner",False
minter(),_minter,False
transferMinter(address),"_minter, _minter",False
switchMinting(),"mintingClosed, mintingClosed, mintingClosed",False
totalSupply(),_totalSupply,False
balanceOf(address),_balances,False
"allowance(address,address)",_allowed,False
"transfer(address,uint256)",,True
"approve(address,uint256)",_allowed,True
"transferFrom(address,address,uint256)","_allowed, _allowed, _allowed",True
"increaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
"decreaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
"constructor(address,address)","_minter, _owner, decimals, _owner",False
mint(uint256),_owner,False
burn(uint256),,True
