Function Name,State Variables Modified,Can Transfer Ether
isMainAdmin(),mainAdmin,True
isContractAdmin(),contractAdmin,True
"bonusForAdminWhenUserBuyPackageViaDollar(uint,address)",,False
"bonusNewRank(address,uint,uint)",,False
"mineToken(address,uint)",,False
"deposit(address,uint,uint8,uint)",,False
getInvestorLastDeposited(address),,False
getUserWallet(address),,False
getProfitBalance(address),,False
increaseETHWithdrew(uint),,False
"validateCanMineToken(uint,address)",,False
constructor(address),,False
setWalletContract(address),walletContract,False
setDABankContract(address),reserveFundContract,False
"register(address,string,address)","investors, userNameAddresses, userNameAddresses, userAddresses, userAddresses",False
showInvestorInfo(address),investors,False
"addF1DepositedToInviter(address,uint)","investors, investors, investors, investors",False
"addNetworkDepositedToInviter(address,uint,uint,uint)","investors, investors, investors, investors, investors, investors, investors, investors",False
increaseInviterF1HaveJoinedPackage(address),investors,False
updateRanking(),"investors, rankCheckPoints, walletContract",True
getInvestorRankingRevenue(address),"investors, investors",False
"checkInvestorsInTheSameReferralTree(address,address)",,False
getInviter(address),investors,False
getDirectlyInvitee(address),investors,False
getDirectlyInviteeHaveJoinedPackage(address),investors,False
getDepositInfo(address),"investors, investors, investors, investors, investors",False
getF1Deposited(address),investors,False
getNetworkDeposited(address),investors,False
getId(address),investors,False
getUserName(address),investors,False
getRank(address),investors,False
getUserAddresses(uint),"userAddresses, userAddresses",False
getSubscribers(address),investors,False
isCitizen(address),investors,False
getInvestorCount(),userAddresses,False
getRankBonus(uint),rankBonuses,False
