Function Name,State Variables Modified,Can Transfer Ether
"approve(address,uint)",,False
balanceOf(address),,False
implementsERC721(),,False
ownerOf(uint),,False
takeOwnership(uint),,False
totalSupply(),,False
"transferFrom(address,address,uint)",,False
"transfer(address,uint)",,False
constructor(address),"creator, BANKROLL, divCardRateToIndex, divCardRateToIndex, divCardRateToIndex, divCardRateToIndex, divCardRateToIndex, divCardRateToIndex, divCardRateToIndex, divCardRateToIndex, onSale, administrators, creator",True
setBankroll(address),BANKROLL,False
"approve(address,uint)",divCardIndexToApproved,True
balanceOf(address),ownershipDivCardCount,False
"createDivCard(string,uint,uint)",BANKROLL,False
startCardSale(),onSale,False
getDivCard(uint),"divCards, divCardIndexToPrice, divCardIndexToOwner",False
implementsERC721(),,False
name(),NAME,False
ownerOf(uint),divCardIndexToOwner,False
purchase(uint),"divCardIndexToOwner, divCardIndexToPrice, divCards, divCardIndexToPrice, BANKROLL",True
priceOf(uint),divCardIndexToPrice,False
setCreator(address),creator,False
symbol(),SYMBOL,False
takeOwnership(uint),divCardIndexToOwner,True
totalSupply(),divCards,False
"transfer(address,uint)",,True
"transferFrom(address,address,uint)",,True
receiveDividends(uint),"divCardRateToIndex, divCardIndexToOwner, divCardIndexToOwner",True
