Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
GetEtherSpent(address),mEtherSpent,False
ComputeVestSpend(address),"mCanSpend, mVestingDays, mVestingBegins, DAYSECONDS, mVestingBalance, mVestingSpent, mVestingAllowed, mVestingAllowed",False
canTake(address),"mCanSpend, mCanSpend, mCanSpend, PRIME_VESTING_DATE, mCanSpend",False
"transfer(address,uint256)","mCanSpend, mVestingSpent, mVestingSpent, mCanSpend",True
"simpletransfer(address,uint256,uint256)",decimals,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","mCanSpend, mCanSpend, mVestingSpent, mVestingSpent",True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"increaseApproval(address,uint)",,True
"decreaseApproval(address,uint)",,True
constructor(),"owner, owner",True
transferOwnership(address),"owner, owner",False
"allocateVestable(address,uint256,uint256,uint256)","decimals, mCanSpend, mVestingBalance, mVestingDays, mVestingBegins, mVestingSpent, mCanPurchase, MEW_CROWDSALE_FUND, MEW_CROWDSALE_FUND, MEW_CROWDSALE_FUND, MEW_CROWDSALE_FUND, MEW_RESERVE_FUND, MEW_RESERVE_FUND, MEW_RESERVE_FUND, MEW_RESERVE_FUND",False
SetAuxOwner(address),"auxOwner, auxOwner",False
"Purchase(address,uint256,uint256,uint256)","mCanSpend, mSetupCrowd, mCanPurchase, MINIMUM_ETHER_SPEND, MAXIMUM_ETHER_SPEND, MEW_CROWDSALE_FUND, mCanSpend, mCanSpend, mEtherInvalid, mEtherInvalid, mEtherValid, mEtherValid, mEtherSpent, MEW_CROWDSALE_FUND, MEW_CROWDSALE_FUND, MEW_CROWDSALE_FUND, MEW_CROWDSALE_FUND",False
Unlock_Tokens(address),"mCanSpend, mCanSpend, mEtherSpent, mEtherInvalid, mEtherInvalid, mEtherValid, mEtherValid",False
Revoke(address),,False
BlockRefunded(address),"mCanSpend, mCanSpend, mEtherInvalid, mEtherInvalid, mEtherSpent",False
SetupReserve(address),"mSetupReserve, MEW_RESERVE_FUND, TOTAL_RESERVE_FUND, FOUNDER_ADDRESS1, PRIME_VESTING_DATE, FOUNDER_ADDRESS2, PRIME_VESTING_DATE, FOUNDER_ADDRESS3, PRIME_VESTING_DATE",False
SetupCrowdSale(),"mSetupCrowd, MEW_CROWDSALE_FUND, TOTAL_CROWDSALE_FUND, mSetupCrowd",False
CloseSaleFund(),"MEW_CROWDSALE_FUND, MEW_CROWDSALE_FUND, MEW_RESERVE_FUND, MEW_RESERVE_FUND, MEW_CROWDSALE_FUND, MEW_RESERVE_FUND, PRIME_VESTING_DATE, FINAL_AML_DATE, PRIME_VESTING_DATE, FINAL_AML_DAYS, DAYSECONDS, mVestingBegins, FOUNDER_ADDRESS1, PRIME_VESTING_DATE, mVestingBegins, FOUNDER_ADDRESS2, PRIME_VESTING_DATE, mVestingBegins, FOUNDER_ADDRESS3, PRIME_VESTING_DATE, mCanPurchase",False
"mint(address,uint256)","totalSupply, totalSupply, mCanSpend",False
finishMinting(),mintingFinished,False
buyTokens(address),,False
function()publicpayable{}(),,False
constructor(),"mCURRENT_STATE, STATE_UNINITIALISED, mOwner, mOwner, mToken, mMultiSigWallet, mToken, mDepositWallet, mMultiSigWallet, mOwner, mToken, mToken, decimals, mOwner, mToken, mOwner, mToken, mMultiSigWallet, mToken, mToken, mToken, mToken, mToken, mCURRENT_STATE, STATE_FUND_INITIALISED, mToken",True
startPRESALE(),"mOwner, mCURRENT_STATE, STATE_FUND_INITIALISED",True
incSALESTATE(),"mOwner, mCURRENT_STATE, STATE_FINISHED, mCURRENT_STATE, STATE_EXTENSION, mCURRENT_STATE, STATE_FUND_INITIALISED, mCURRENT_STATE, mFUNDING_BONUS, FUNDING_SALE_BONUS, mCURRENT_STATE, mFUNDING_SALE_TIMESTAMP, mFUNDING_CURRENT_DURATION, FUNDING_SALE_DURATION, mCURRENT_STATE, CONST_DAY_SECONDS, mTOKEN_EXCHANGE_RATE, mFUNDING_BONUS",True
pauseSALE(),"mOwner, mPausedTime, mPausedTime, mFUNDING_CURRENT_DURATION, mFUNDING_CURRENT_DURATION",True
unpauseSALE(),"mPausedTime, mOwner, mFUNDING_CURRENT_DURATION, mPausedTime, mPausedTime",True
function()publicpayable{require(mCURRENT_STATE>=STATE_PRESALE);buyTokens(msg.sender);}(),"mCURRENT_STATE, STATE_PRESALE",True
buyTokens(address),"mCURRENT_STATE, STATE_PRESALE, mFUNDING_SALE_TIMESTAMP, mFUNDING_CURRENT_DURATION, GAS_PRICE_LIMIT, mTOKEN_EXCHANGE_RATE, mToken, mTOKEN_EXCHANGE_RATE",False
finalize(),"mOwner, mCURRENT_STATE, STATE_FINISHED, mCURRENT_STATE, STATE_FINISHED, mToken",True
changeWallet(address),"signatures, signatures, newAddress, newAddress, signatures, signatures, SIGNING_TIME, SIGNING_TIME, newAddress, mDepositWallet, signatures, signatures, newAddress",True
