Function Name,State Variables Modified,Can Transfer Ether
"canCall(address,address,bytes4)",,False
DSAuth(),owner,True
setOwner(address),"owner, owner",False
setAuthority(),"authority, authority",False
stop(),stopped,False
start(),stopped,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"approve(address,uint)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
DSTokenBase(uint),,True
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,True
"transferFrom(address,address,uint)",,True
"approve(address,uint)",,True
DSToken(bytes32),symbol,False
approve(address),,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,True
"push(address,uint)",,True
"pull(address,uint)",,True
"move(address,address,uint)",,True
mint(uint),,True
burn(uint),,True
"mint(address,uint)",,False
"burn(address,uint)",,True
setName(bytes32),name,False
peek(),,False
read(),,False
poke(bytes32),,False
void(),,False
"SaiLPC(,,,)","ref, alt, pip, lps, gap",False
jump(uint),gap,False
tag(),pip,False
pie(),"ref, alt",False
per(),"lps, lps",False
"pool(,uint)","alt, ref, ref, lps, lps",True
"exit(,uint)","alt, ref, ref, gap, lps, lps",True
"take(,uint)","alt, ref, ref, gap, ref, alt, ref",True
"getConversionRate(,,uint,uint)",,False
"withdraw(,uint,address)",,False
getBalance(),,False
deposit(),,False
withdraw(uint),,False
"LPCReserveWrapper(,,,)","reserve, weth, lpc, dai",False
switchLPC(),lpc,False
switchReserve(),reserve,False
function()publicpayable{}(),,False
"approveToken(,address,uint)",,False
"take(,uint)","weth, dai, lpc, dai, lpc, weth, lpc, dai, dai, weth, dai, lpc, reserve, lpc",True
"withdraw(,uint,address)",ETH_TOKEN_ADDRESS,True
