Function Name,State Variables Modified,Can Transfer Ether
Owned(),owner,True
changeOwner(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner",True
balanceOf(address),,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
"allowance(address,address)",,False
"transfer(address,uint)",,True
"transferFrom(address,address,uint)",,True
balanceOf(address),,False
"approve(address,uint)",,True
"allowance(address,address)",,False
OriginsTraceChainToken(address),minter,False
"mintToken(address,uint)","totalSupply, totalSupply",False
