Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"approve(address,uint256,bytes)",,False
"transfer(address,uint256,bytes)",,False
"transferFrom(address,address,uint256,bytes)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
HasNoEther(),,False
function()external{}(),,False
reclaimEther(),owner,True
reclaimContract(address),owner,True
reclaimToken(),"token, token, owner",False
"tokenFallback(address,uint256,bytes)",,False
Destructible(),,False
destroy(),owner,False
destroyAndSend(address),,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
"approve(address,uint256,bytes)",,True
"transfer(address,uint256,bytes)",,True
"transferFrom(address,address,uint256,bytes)",,True
"increaseApproval(address,uint,bytes)",,True
"decreaseApproval(address,uint,bytes)",,True
setFounder(address),,False
setTransferEnabled(bool),transferEnabled,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"transfer(address,uint256,bytes)",,True
"transferFrom(address,address,uint256,bytes)",,True
"DOCTCrowdsale(uint256,,,,,)","token, token, owner, token, tokensMinted, token, hardCap",False
"setRound(uint8,uint256,uint256,uint256,uint256,uint256)","rounds, rounds, rounds, rounds, rounds, rounds, rounds, rounds",False
"function()payablepublic{require(msg.value>0);require(crowdsaleRunning());uint256rate=currentRate(msg.value);require(rate>0);uint256tokens=rate.mul(msg.value).div(DOCT_TO_ETH_DECIMALS);mintTokens(msg.sender,tokens);}()",,True
"saleNonEther(address,uint256,string)",,False
"bulkTokenSend(,,string)",,False
"bulkTokenSend(,uint256,string)",,False
crowdsaleRunning(),"finalized, tokensMinted, hardCap",False
currentRoundNum(),"rounds, rounds, rounds",False
currentRate(uint256),"rounds, rounds, rounds",False
claimEther(),owner,True
finalizeCrowdsale(),"finalized, token, token, token, owner",True
