Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
transferOwnership(address),owner,False
constructor(address),"owner, token",True
function()externalpayable{for(uinti=0;i<holders.length;i++){holders[i].transfer(msg.value*token.balanceOf(holders[i])/token.totalSupply());}}(),"token, token",True
addHolder(address),,False
addListOfHolders(),,False
emptyListOfHolders(),,False
getLengthOfList(),,False
getHolder(uint),,False
withdrawBalance(),owner,True
