Function Name,State Variables Modified,Can Transfer Ether
halt(),halted,False
unhalt(),halted,False
setOwnerBurner(address),tokenOwnerBurner,False
burnOwnerTokens(uint),tokenOwnerBurner,False
"burnTokens(address,uint)",,False
burnAllOwnerTokens(),"tokenOwnerBurner, tokenOwnerBurner",False
mintTokensForFirstStage(),"isFirstStageTokensMinted, token, token, firstStageTotalSupply, isFirstStageTokensMinted",False
getOneTokenInWei(),"oneTokenInCents, currentEtherRateInCents",False
getWeiInCents(uint),currentEtherRateInCents,False
setDestinationMultisigWallet(address),destinationMultisigWallet,False
changeCurrentEtherRateInCents(uint),"currentEtherRateInCents, currentEtherRateInCents",False
"preallocateFirstStage(address,uint,uint)",,False
"preallocateSecondStage(address,uint,uint)",,False
issueTeamTokens(),"teamTokensIssueDate, teamTokenAmount, token, token, teamAccount",True
enableRefunds(),"isRefundingEnabled, token",False
buy(),,True
"externalBuy(address,uint,uint)",,False
refund(),"investedAmountOf, tokenAmountOf, token, investedAmountOf, weiRefunded, weiRefunded",True
finalizeFirstStage(),"isFirstStageFinalized, token, isFirstStageFinalized",False
finalizeSecondStage(),"isFirstStageFinalized, isSecondStageFinalized, token, secondStageTokensForSale, secondStageTokensSold, token, advisorsTokenAmount, marketingTokenAmount, supportTokenAmount, token, advisorsAccount, token, marketingAccount, token, supportAccount, isSuccessOver, token, isSecondStageFinalized",True
setFirstStageStartsAt(uint),"firstStageStartsAt, firstStageStartsAt",False
setFirstStageEndsAt(uint),"firstStageEndsAt, firstStageEndsAt",False
setSecondStageStartsAt(uint),"secondStageStartsAt, secondStageStartsAt",False
setSecondStageEndsAt(uint),"secondStageEndsAt, secondStageEndsAt",False
setSoftCapInCents(uint),"softCapFundingGoalInCents, softCapFundingGoalInCents",False
setHardCapInCents(uint),"hardCapFundingGoalInCents, hardCapFundingGoalInCents",False
isSoftCapGoalReached(),"weiRaised, softCapFundingGoalInCents",False
isHardCapGoalReached(),"weiRaised, hardCapFundingGoalInCents",False
getTokensLeftForSale(),"token, secondStageReserve, token",False
getState(),"isSuccessOver, isRefundingEnabled, firstStageStartsAt, isFirstStageFinalized, firstStageStartsAt, firstStageEndsAt, secondStageStartsAt, secondStageStartsAt, secondStageEndsAt, isSecondStageFinalized",False
deposit(address),"deposited, deposited",False
close(),"state, wallet",True
setWallet(address),wallet,False
enableRefunds(),state,False
"refund(address,uint)","deposited, deposited",True
