Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
setResolverFee(uint),,False
getResolverFee(),,False
setMaxPayout(uint),,False
getMaxPayout(),,False
withDraw(uint),,True
function()publicpayable{}(),,False
"createBet(uint,bytes32,uint)","bets, betToOwner",True
resolveBet(uint),"bets, betToOwner, betToOwner",True
"isCorrectGuess(bytes32,bytes32,uint)",,False
"payout(uint,uint)",,False
houseFee(uint),,False
getBet(uint),"bets, bets, bets, bets, bets, bets",False
getPlayerBets(),,True
getTotalWins(),"bets, bets, bets, bets",False
recentWinners(),"bets, bets, bets, bets",False
