Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
getAddr(string),,False
open(),,False
join(uint),,False
"give(bytes32,address)",,False
"lock(bytes32,uint)",,False
"draw(bytes32,uint)",,False
per(),,False
peek(),,False
deposit(),,False
dai2eth(uint),,False
claimCDP(uint),,False
"transferCDPInternal(uint,address)",,False
getETHRate(),,False
approveERC20(),"cdpAddr, cdpAddr, cdpAddr, cdpAddr",False
pethPEReth(uint),cdpAddr,False
"riskNewCDP(uint,uint,bool)","freezed, cdpAddr",True
constructor(address),"addressRegistry, cdpAddr",False
function()externalpayable{}(),,False
collectETH(uint),,True
freeze(bool),freezed,False
