Function Name,State Variables Modified,Can Transfer Ether
init(),,True
"getKey(,bytes32)",,False
"getKeyPurposes(,bytes32)",,False
"getKeysByPurpose(,uint256)",,False
"addKey(,bytes32,uint256,uint256)",,True
"addKeys(,,uint256,uint256)",,False
"approve(,uint256,bool)",,True
"execute(,address,uint256,bytes)",,True
"removeKey(,bytes32,uint256)",,True
"keyHasPurpose(,bytes32,uint256)",,False
"addClaim(,,uint256,uint256,address,bytes,bytes,string)",,True
"addClaims(,,,,bytes,bytes,)",,False
"removeClaim(,,bytes32)",,True
"getClaim(,bytes32)",,False
getKey(bytes32),,False
"keyHasPurpose(bytes32,uint256)",,False
getKeysByPurpose(uint256),,False
"addKey(bytes32,uint256,uint256)",,False
"removeKey(bytes32,uint256)",,False
"execute(address,uint256,bytes)",,False
"approve(uint256,bool)",,False
getClaim(bytes32),,False
getClaimIdsByTopic(uint256),,False
"addClaim(uint256,uint256,address,bytes,bytes,string)",,False
removeClaim(bytes32),,False
constructor(),,False
getKey(bytes32),,False
getKeyPurposes(bytes32),,False
getKeysByPurpose(uint256),,False
"addKey(bytes32,uint256,uint256)",,False
"addKeys(,uint256,uint256)",,False
"approve(uint256,bool)",,False
"execute(address,uint256,bytes)",,False
"removeKey(bytes32,uint256)",,False
"keyHasPurpose(bytes32,uint256)",,False
"addClaim(uint256,uint256,address,bytes,bytes,string)",,False
"addClaims(,,bytes,bytes,)",,False
removeClaim(bytes32),,False
getClaim(bytes32),,False
getClaimIdsByTopic(uint256),,False
constructor(),admin,True
transferOwnership(address),admin,False
addContract(address),,False
removeContract(address),,False
getContract(address),,False
"getKey(address,bytes32)",,False
"keyHasPurpose(address,bytes32,uint256)",,False
"getKeysByPurpose(address,uint256)",,False
"addKey(address,bytes32,uint256,uint256)",,False
"addKeys(address,,uint256,uint256)",,False
"removeKey(address,bytes32,uint256)",,False
"execute(address,address,uint256,bytes)",,False
"approve(address,uint256,bool)",,False
"getClaim(address,bytes32)",,False
"getClaimIdsByTopic(address,uint256)",,False
"addClaim(address,uint256,uint256,address,bytes,bytes,string)",,False
"removeClaim(address,bytes32)",,False
kill(address),,False
constructor(),,False
destruct(),,True
