Function Name,State Variables Modified,Can Transfer Ether
"tokenFallback(address,uint,bytes)",,False
constructor(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
constructor(uint256),cap,False
"mint(address,uint256)",cap,False
constructor(address),canBurnAddress,False
"mintFrozen(address,uint256)",frozenList,False
changeFrozenTime(uint256),frozenPauseTime,False
"transfer(address,uint)",,True
"transfer(address,uint,bytes)","frozenPauseTime, frozenList",True
"transferFrom(address,address,uint)",,True
"transferFrom(address,address,uint,bytes)","frozenPauseTime, frozenList",True
burn(uint256),"burnPausedTime, canBurnAddress",True
changeBurnPausedTime(uint256),"burnPausedTime, burnPausedTime",False
