Function Name,State Variables Modified,Can Transfer Ether
AccessControl(),creatorAddress,True
addSERAPHIM(address),"seraphims, seraphims, totalSeraphims",False
removeSERAPHIM(address),"seraphims, seraphims, totalSeraphims",False
updateMaintenanceMode(bool),isMaintenanceMode,False
balanceOf(address),,False
totalSupply(),,False
ownerOf(uint256),,False
setMaxAngels(),,False
setMaxAccessories(),,False
setMaxMedals(),,False
initAngelPrices(),,False
initAccessoryPrices(),,False
"setCardSeriesPrice(uint8,uint)",,False
"approve(address,uint256)",,False
"getRandomNumber(uint16,uint8,address)",,False
tokenURI(uint256),,False
baseTokenURI(),,False
name(),,False
symbol(),,False
getApproved(uint256),,False
"setApprovalForAll(address,bool)",,False
"isApprovedForAll(address,address)",,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
"mintABToken(address,uint8,uint16,uint16,uint16,uint16,string,uint16,uint16)",,False
getPrice(uint8),,False
buyAngel(uint8),,False
buyAccessory(uint8),,False
getAura(uint8),,False
getABToken(uint256),,False
"setAuras(uint256,uint16,uint16,uint16)",,False
"setName(uint256,string)",,False
"setExperience(uint256,uint16)",,False
"setLastBattleResult(uint256,uint16)",,False
setLastBattleTime(uint256),,False
setLastBreedingTime(uint256),,False
"setoldId(uint256,uint16)",,False
"getABTokenByIndex(address,uint64)",,False
"createPetCardSeries(uint8,uint32)",,False
"setPet(uint8,address,string,uint8,uint16,uint16,uint16)",,False
"setPetAuras(uint64,uint8,uint8,uint8)",,False
setPetLastTrainingTime(uint64),,False
setPetLastBreedingTime(uint64),,False
"transferPet(address,address,uint64)",,False
"ownerPetTransfer(address,uint64)",,False
"setPetName(string,uint64)",,False
getPetCardSeries(uint8),,False
getPet(uint),,False
getOwnerPetCount(address),,False
"getPetByIndex(address,uint)",,False
getTotalPetCardSeries(),,False
getTotalPets(),,False
"createAngelCardSeries(uint8,uint,uint64,uint8,uint16,uint64)",,False
"updateAngelCardSeries(uint8,uint64,uint64)",,False
"setAngel(uint8,address,uint,uint16)",,False
"addToAngelExperienceLevel(uint64,uint)",,False
setAngelLastBattleTime(uint64),,False
setAngelLastVsBattleTime(uint64),,False
"setLastBattleResult(uint64,uint16)",,False
"transferAngel(address,address,uint64)",,False
"ownerAngelTransfer(address,uint64)",,False
"updateAngelLock(uint64,bool)",,False
removeCreator(),,False
getAngelCardSeries(uint8),,False
getAngel(uint64),,False
getOwnerAngelCount(address),,False
"getAngelByIndex(address,uint)",,False
getTotalAngelCardSeries(),,False
getTotalAngels(),,False
getAngelLockStatus(uint64),,False
"createAccessorySeries(uint8,uint32,uint)",,False
"setAccessory(uint8,address)",,False
"transferAccessory(address,address,uint64)",,False
"ownerAccessoryTransfer(address,uint64)",,False
"updateAccessoryLock(uint64,bool)",,False
removeCreator(),,False
getAccessorySeries(uint8),,False
getAccessory(uint),,False
getOwnerAccessoryCount(address),,False
"getAccessoryByIndex(address,uint)",,False
getTotalAccessorySeries(),,False
getTotalAccessories(),,False
getAccessoryLockStatus(uint64),,False
"DataContacts(address,address,address,address)","angelCardDataContract, petCardDataContract, accessoryDataContract, ABTokenDataContract",False
claimPet(uint64),"petCardDataContract, ABTokenDataContract, seraphims",True
claimAccessory(uint64),"accessoryDataContract, ABTokenDataContract",True
claimAngel(uint64),"angelCardDataContract, ABTokenDataContract",True
kill(),creatorAddress,False
