Function Name,State Variables Modified,Can Transfer Ether
Spineth(),"WHEEL_SIZE, WIN_PERCENT_PER_DISTANCE, authority",True
changeAuthority(address),"authority, authority",True
"changeBetLimits(uint,uint)","authority, minBetWei, maxBetWei",True
getNextGameId(address),counterContext,False
"createWheelBetHash(uint,uint,uint)",WHEEL_SIZE,False
"createGame(uint,uint)","gameContext, minBetWei, maxBetWei, counterContext, counterContext, openGames, playerActiveGames",True
cancelGame(uint),"gameContext, openGames, playerActiveGames",True
"joinGame(uint,uint)","gameContext, WHEEL_SIZE, maxRevealSeconds, openGames, playerActiveGames",True
expireGame(uint),"gameContext, WHEEL_SIZE, WHEEL_SIZE",True
"revealBet(uint,uint)","gameContext, WHEEL_SIZE, WHEEL_SIZE, WHEEL_SIZE",True
calculateEarnings(uint),"gameContext, WIN_PERCENT_PER_DISTANCE, FEE_PERCENT, WIN_PERCENT_PER_DISTANCE, FEE_PERCENT",False
withdrawEarnings(uint),"gameContext, playerActiveGames, playerCompleteGames, authority",True
