Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),totalSupply_,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
balanceOf(address),balances,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
pause(),paused,False
unpause(),paused,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
constructor(),"totalSupply_, INITIAL_SUPPLY, balances, INITIAL_SUPPLY, INITIAL_SUPPLY",True
freeze(address),freezes,False
unfreeze(address),freezes,False
isFrozen(address),freezes,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",freezes,True
"mint(address,uint256)","totalSupply_, totalSupply_, balances, balances",False
"burn(address,uint256)",,False
balanceOf(address),"lockInfo, lockInfo, balances",False
lockCount(address),lockInfo,False
"lockState(address,uint256)","lockInfo, lockInfo",False
"lock(address,uint256,uint256)","balances, balances, balances, lockInfo",False
"lockAfter(address,uint256,uint256)","balances, balances, balances, lockInfo",False
"unlock(address,uint256)","lockInfo, balances, balances, lockInfo, lockInfo, lockInfo, lockInfo, lockInfo, lockInfo, lockInfo, lockInfo",False
"transferWithLock(address,uint256,uint256)","balances, owner, balances, owner, balances, owner, lockInfo, owner",False
"transferWithLockAfter(address,uint256,uint256)","balances, owner, balances, owner, balances, owner, lockInfo, owner",False
currentTime(),,False
afterTime(uint256),,False
