Function Name,State Variables Modified,Can Transfer Ether
constructor(),"totalSupply, decimals, balanceOf, totalSupply",True
"transfer(address,uint256)",balanceOf,True
"approve(address,uint256)",allowance,True
"transferFrom(address,address,uint256)","balanceOf, allowance, allowance, allowance",True
constructor(),owner,True
function()external{revert();}(),,False
depositEther(),"tokens, tokens, tokens",True
withdrawEther(uint),"tokens, tokens, tokens, tokens",True
"depositToken(address,uint)","tokens, tokens, tokens",True
"withdrawToken(address,uint256)","tokens, tokens, tokens, tokens",True
"balanceOf(address,address)",tokens,False
"makeOrder(address,uint256,address,uint256)","orderCount, orderCount, orders, orderCount, orderCount, ercToken, orderCount, ercToken",True
cancelOrder(uint256),"orders, orderCancelled, ercToken, ercToken",True
fillOrder(uint256),"orderCount, orderFilled, orderCancelled, orders, orderFilled",False
transferOwnership(address),,True
getFeeDistributionsCount(address),feeDistributions,False
getTotalFeePercent(address),feeDistributions,False
"setFeeDistributions(address,address,string,uint256)",feeDistributions,False
"deActivateFeeWallet(address,address)",feeDistributions,False
