Function Name,State Variables Modified,Can Transfer Ether
"storeBulk(,)",,False
"store(uint256,uint256,)",,False
remove(uint256),,False
list(),,False
getAttributes(uint256),,False
"updateAttributes(uint256,uint256,)",,False
totalSupply(),,False
constructor(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, owner, newOwner",True
getControllers(),controllers,False
addController(address),"owner, controllers, controllers, controllers",False
removeController(address),"controllers, controllers, controllers",False
constructor(),,False
exists(uint256),tokens,False
"storeBulk(,)","allTokens, tokens",False
"store(uint256,uint256,)","allTokens, tokens",False
remove(uint256),"tokens, allTokens, allTokens, allTokens, allTokens, allTokens, allTokens, allTokens",False
list(),allTokens,False
getAttributes(uint256),"tokens, tokens",False
"updateAttributes(uint256,uint256,)","tokens, tokens",False
totalSupply(),allTokens,False
