Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),owner,False
"receiveApproval(address,uint256,address,bytes)",,False
"constructor(uint256,string,string)","_totalSupply, decimals, _balanceOf, _totalSupply, name, symbol",True
balanceOf(address),_balanceOf,False
totalSupply(),_totalSupply,False
"transferFrom(address,address,uint256)","allowance, allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
"constructor(uint256,string,string)",,False
"transfer(address,uint256)","_balanceOf, _frozenOf",True
"transferFrom(address,address,uint256)","allowance, allowance, _balanceOf, _frozenOf, allowance, allowance",True
"frozen(address,uint256)","_balanceOf, _frozenOf",False
frozenOf(address),_frozenOf,False
"approveAirdrop(address,address,uint256)",allowance,False
"transferAirdrop(address,address,address,uint256)","allowance, allowance, allowance",True
kill(),owner,False
