Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"approve(address,uint256,bytes)",,False
"transfer(address,uint256,bytes)",,False
"transferFrom(address,address,uint256,bytes)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"approve(address,uint256,bytes)",,True
"transfer(address,uint256,bytes)",,True
"transferFrom(address,address,uint256,bytes)",,True
"increaseApproval(address,uint,bytes)",,True
"decreaseApproval(address,uint,bytes)",,True
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
Destructible(),,False
destroy(),owner,False
destroyAndSend(address),,False
pause(),paused,False
unpause(),paused,False
HasNoEther(),,False
function()external{}(),,False
reclaimEther(),owner,True
reclaimContract(address),owner,True
reclaimToken(),owner,False
"tokenFallback(address,uint256,bytes)",,False
"TokenVesting(address,uint256,uint256,uint256,bool)","beneficiary, revocable, duration, cliff, start",False
release(),"released, released, beneficiary",False
revoke(),"revocable, revoked, revoked, owner",False
releasableAmount(),released,False
vestedAmount(),"released, cliff, start, duration, revoked, start, duration",False
burn(uint256),,True
"BOBTokenVesting(address,uint256,uint256,uint256,bool)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
"transfer(address,uint256,bytes)",,True
"transferFrom(address,address,uint256,bytes)",,True
"approve(address,uint256,bytes)",,False
"increaseApproval(address,uint,bytes)",,False
"decreaseApproval(address,uint,bytes)",,False
startAirdrop(uint256),"multiplierPercent, PERCENT_DIVIDER, currentAirdrop, currentAirdrop, multiplierPercent, undropped, multiplierPercent, undropped, multiplierPercent, currentAirdrop",False
finishAirdrop(),"undropped, multiplierPercent, currentAirdrop",False
drop(),"undropped, undropped",False
airdropAmount(uint256),"multiplierPercent, multiplierPercent, PERCENT_DIVIDER",False
setFounder(address),,False
setTransferEnabled(bool),transferEnabled,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"transfer(address,uint256,bytes)",,True
"transferFrom(address,address,uint256,bytes)",,True
