Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
deposit(uint),"token, deposits, deposits",True
withdraw(uint),"deposits, deposits, deposits, deposits, token",True
"vote(uint,uint,uint)","proposals, proposals, deposits, deposits, proposals, proposals, proposals, proposals, deposits, proposals, proposals, proposals, proposals, proposals, proposals",True
"depositAndVote(uint,uint,uint)",,False
"propose(bytes,address,string)","proposers, proposals, proposalDuration, proposalDuration",True
execute(uint),"proposals, token, proposals",True
"setProposer(address,bool)",proposers,True
setProposalDuration(uint),proposalDuration,True
proposalDeadline(uint),proposals,False
proposalData(uint),proposals,False
proposalReason(uint),proposals,False
proposalTarget(uint),proposals,False
proposalVotes(uint),"proposals, proposals",False
