Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
setPauseStatus(bool),paused,False
balanceOf(address),,False
"transfer(address,uint)",,False
"transfer(address,uint,bytes)",,False
totalSupply(),,False
"transfer(address,uint,bytes,string)",,False
name(),,False
symbol(),,False
decimals(),,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"tokenFallback(address,uint,bytes)",,True
constructor(),"owner, balanceOf, totalSupply",True
balanceOf(address),balanceOf,False
totalSupply(),totalSupply,False
"transfer(address,uint,bytes,string)","frozenAccount, balanceOf, balanceOf, balanceOf, balanceOf, balanceOf",True
"transfer(address,uint,bytes)",frozenAccount,True
"transfer(address,uint)",frozenAccount,True
name(),name,False
symbol(),symbol,False
decimals(),decimals,False
"transferFrom(address,address,uint256)","balanceOf, allowance, frozenAccount, frozenAccount, balanceOf, balanceOf, balanceOf, balanceOf, allowance, allowance",True
"approve(address,uint256)",allowance,True
"allowance(address,address)",allowance,False
freezeAccounts(),"frozenAccount, balanceOf",False
unfreezeAccounts(),"frozenAccount, balanceOf",False
isFrozenAccount(address),frozenAccount,False
"burn(address,uint256)","balanceOf, balanceOf, balanceOf, totalSupply, totalSupply",False
"rain(,uint256)","balanceOf, balanceOf, balanceOf, balanceOf, balanceOf",True
"collectTokens(,)","balanceOf, balanceOf, balanceOf, balanceOf, balanceOf",True
"createItem(string,uint256,uint256,bool,bool,string,uint256)","items, items",True
"getItemAmountOf(uint256,address)",items,False
"setItemOption(uint256,string)","items, items",True
"setItemApproveForAll(uint256,bool)","items, items",True
"setItemTransferable(uint256,bool)","items, items",True
"setItemPrice(uint256,uint256)","items, items",True
"setItemLimitHolding(uint256,uint256)","items, items",True
"buyItem(uint256,uint256)","items, items, items, items, items, items, balanceOf, balanceOf, balanceOf, items, items, items, items, items, items, balanceOf, items, balanceOf, items",True
"allowanceItem(uint256,uint256,uint256,address)","items, items, allowanceItems",True
"getItemAllowanceAmount(uint256,address,address)",allowanceItems,False
"getItemAllowancePrice(uint256,address,address)",allowanceItems,False
"transferItemFrom(uint256,address,uint256,uint256)","frozenAccount, allowanceItems, allowanceItems, balanceOf, items, items, items, items, balanceOf, balanceOf, allowanceItems, allowanceItems, items, items, items, items, balanceOf, balanceOf",True
"transferItem(uint256,address,uint256)","frozenAccount, items, items, items, items, items, items, items, items",True
setItemStoppedStatus(bool),isItemStopped,False
function()payablepublic{}(),,False
