Function Name,State Variables Modified,Can Transfer Ether
changeOwner(address),candidate,False
acceptOwner(),"candidate, candidate, owner, candidate, candidate",True
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
balanceOf(address),balances,False
"allowance(address,address)",allowed,False
Skraps(),"totalSupply, balances, totalSupply, totalSupply",True
"transfer(address,uint)","balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint)","balances, allowed, allowed, allowed, balances, balances, balances, balances",True
"approve(address,uint)","allowed, allowed",True
withdrawTokens(uint),"balances, balances, balances, balances, balances, balances",True
