Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
getSellPrice(),,False
"transfer(address,uint256,uint256)",,False
constructor(address),connector,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),_owner,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)","allowed, _owner",False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"setWinnerValue(address,uint)",winners,False
"setParentValue(address,address)",parents,False
"constructor(address,string,string,uint)","name, symbol, decimals",True
"transfer(address,uint256)","connector, connector, connector, connector",True
"transferFrom(address,address,uint256)","connector, connector, connector, connector",True
constructor(),"gameActive, gameEndTime",False
"startNewGame(string,string,uint,uint,uint,uint,uint,uint,uint)","gameActive, gameEndTime, token, mapsStorage, startPrice, token, currentPrice, startPrice, priceStep, token, pricePercentGrowth, minNumberOfTokensToBuy, token, maxNumberOfTokensToBuy, token, counterOfSoldTokens, sumOfSmallJackpot, sumOfBigJackpot, sumOfFund, timerTime, gameActive, lastBuyer",False
stopGame(),timerTime,False
isGameEnd(),timerTime,False
"function()onlyForActiveGamepublicpayable{if(now>timerTime){internalStopGame();return;}if(msg.value==0){getPrize(msg.sender);}else{buyTokens(msg.sender,msg.value);}}()",timerTime,True
getTotalAvailableTokens(),token,False
getTotalSoldTokens(),"token, token",False
getAvailableTokensAtCurrentPrice(),"priceStep, counterOfSoldTokens, priceStep, token",False
"getNewTimerTime(uint,uint)",,False
getNewBuyPrice(),"currentPrice, currentPrice, pricePercentGrowth",False
getSellPrice(),sumOfFund,False
calcNumberOfTokens(uint),"currentPrice, token, currentPrice, currentPrice",False
"transfer(address,uint256,uint256)","token, sumOfFund, sumOfFund",True
