Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
totalSupply(),supply,False
balanceOf(address),,False
"approve(address,uint256)",,True
"allowance(address,address)",,False
"LotusToken(address,address,address,address,address,address,address,address,address,address,address,address)","owner, supply, decimals, supply, EARLYADOPTERS, ICO_ONE, supply, ICO_TWO, supply, EARLYADOPTERS, ICO_ONE, ICO_ONE, supply, ethDistribution, vc1Wallet4Pct, vc2Wallet4Pct, vc3Wallet4Pct, cf1Wallet2Pct, cf2Wallet2Pct, dev1Wallet2Pct, dev2Wallet2Pct, dev3Wallet2Pct, dev4Wallet2Pct, preicobrandingWallet1Pct, lotusWallet75Pct, airdropWallet5Pct",True
"function()publicpayablemustBeSelling{require(msg.value>0);require(msg.value>=currentMinPurchase()&&msg.value<=currentMaxPurchase());uintpriceNow=currentSalePriceInWei();uintcurrentLimit=currentSaleLimit();uintcurrentSold=currentSaleSold();uintcurrentLimitPerAddress=currentSaleLimitPerAddress();uintcurrentStageTokensBought=currentStageTokensBoughtByAddress();uintpriceInWei=msg.value;uinttokensAtPrice=(priceInWei/priceNow)*10**decimals;require(tokensAtPrice+currentSold<=currentLimit);require(tokensAtPrice+currentStageTokensBought<=currentLimitPerAddress);balances[msg.sender]=safeAdd(balances[msg.sender],tokensAtPrice);tokensSold=safeAdd(tokensSold,tokensAtPrice);_addTokensSoldToCurrentSale(tokensAtPrice);distributeCollectedEther();Transfer(this,msg.sender,tokensAtPrice);}()","decimals, tokensSold, tokensSold",True
startEarlyAdopters(),,False
closeEarlyAdopters(),,False
startIcoOne(),,False
closeIcoOne(),,False
startIcoTwo(),,False
closeSale(),cliff,False
withdrawAllocation(),"ethDistribution, lotusWallet75Pct, ethDistribution, ethDistribution",True
currentSalePriceInWei(),"EARLYADOPTERS, ICO_ONE, ICO_TWO",False
currentSaleLimit(),"EARLYADOPTERS, ICO_ONE, ICO_TWO",False
currentSaleSold(),"EARLYADOPTERS, ICO_ONE, ICO_TWO",False
currentMinPurchase(),"EARLYADOPTERS, ICO_ONE, ICO_TWO",False
currentMaxPurchase(),"EARLYADOPTERS, ICO_ONE, ICO_TWO",False
currentSaleLimitPerAddress(),"EARLYADOPTERS, ICO_ONE, ICO_TWO",False
currentStageTokensBoughtByAddress(),"earlyAdoptersAddressPurchased, icoOneAddressPurchased, icoTwoAddressPurchased",True
withdrawVestedTokens(),"cliff, cliff, withdrawnVestedTokens, vestingTokens, cliff, vestingSchedule, vestingTokens, withdrawnVestedTokens, withdrawnVestedTokens, withdrawnVestedTokens",True
