Function Name,State Variables Modified,Can Transfer Ether
"canCall(address,address,bytes4)",,False
DSAuth(),owner,True
setOwner(address),"owner, owner",False
setAuthority(),"authority, authority",False
stop(),stopped,False
start(),stopped,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"approve(address,uint)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
DSTokenBase(uint),,True
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,True
"transferFrom(address,address,uint)",,True
"approve(address,uint)",,True
"DSToken(string,string)","symbol, name",False
setName(string),name,False
approve(address),,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,True
"push(address,uint)",,True
"pull(address,uint)",,True
"move(address,address,uint)",,True
mint(uint),,True
burn(uint),,True
"mint(address,uint)",,False
"burn(address,uint)",,True
TICDist(uint256),initSupply,False
setTIC(),"TIC, TIC, initSupply, initSupply, decimals, TIC, initSupply",False
"setDistConfig(,)","isDistConfig, founderList, founders, isDistConfig",False
"setLockedConfig(,,)","isDistConfig, isLockedConfig, founders, founders, isLockedConfig",False
startDist(),"distDay, isDistConfig, isLockedConfig, founderList, TIC, founders, founderList, founders, founderList, founders, founderList, TIC, founderList, distDay, founderList, founders, founderList, founders, founderList, distDay",False
checkLockedToken(),"distDay, founders, founders, bTest, distDay, founders, founders, TIC, founders, founders, founders, founders, founders, TIC, founders, founders, TIC, founders, founders",True
today(),,False
time(),,False
