Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"lockBalance(address,uint256,uint256)",lockEpochsMap,False
"function()payableexternal{processFunding(msg.sender,msg.value,rate);uint256amount=msg.value.mul(rate);totalFundingSupply=totalFundingSupply.add(amount);}()","rate, rate, totalFundingSupply, totalFundingSupply",True
withdrawCoinToOwner(uint256),,True
etherProceeds(),,True
setRate(uint256),rate,False
"transfer(address,uint256)",lockEpochsMap,True
balanceOf(address),,False
"transferFrom(address,address,uint256)",lockEpochsMap,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
