Function Name,State Variables Modified,Can Transfer Ether
bornFamedStar(uint),,False
NovaAccessControl(),,True
setManager(address),,False
removeManager(address),,True
updateCfo(address),,False
FamedStar(),,False
updateLabAddress(address),labAddress,False
updateNovaAddress(address),novaAddress,False
"addFamedStar(string,uint,uint)",,False
getFamedStarByID(uint),,False
getFamedStarByName(string),famedStarNameToIds,False
getFamedStarByMass(uint),famedStarMassToIds,False
"updateFamedStarOwner(uint,address)",novaAddress,True
"bornFamedStar(address,uint)","novaAddress, famedStarMassToIds, labAddress",True
