Function Name,State Variables Modified,Can Transfer Ether
"receiveApproval(address,uint256,address,bytes)",,False
constructor(),owner,True
allowTransferOwnership(bool),ownershipTransferAllowed,False
transferOwnership(address),"ownershipTransferAllowed, owner, ownershipTransferAllowed",False
constructor(),"totalSupply, tokenFactor, balanceOf, totalSupply, owner, owner, totalSupply, owner, totalSupply, tokenFactor, balanceOf",True
buy(),"buyPrice, tokenFactor, balanceOf, sellPrice",True
function()payablepublic{buy();}(),,False
sell(uint256),"tokenFactor, sellPrice, minimumPayout, balanceOf, sellPrice",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
setMinimumPayout(uint256),minimumPayout,False
save(uint256),"minimumPayout, owner",True
restore(uint256),"balanceOf, owner",True
