Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),_totalSupply,False
balanceOf(address),"_balances, owner",False
"allowance(address,address)","_allowed, owner",False
"transfer(address,uint256)",,True
"approve(address,uint256)","isPaused, _allowed",True
"transferFrom(address,address,uint256)","_allowed, _allowed, _allowed",True
"increaseAllowance(address,uint256)","isPaused, _allowed, _allowed, _allowed",True
"decreaseAllowance(address,uint256)","isPaused, _allowed, _allowed, _allowed",True
changeRate(uint256),rate,False
pauseCustomBuying(),"isBuyBlocked, isBuyBlocked",False
resumeCustomBuy(),"isBuyBlocked, isBuyBlocked",False
pauseUsage(),"isPaused, isPaused",False
resumeUsage(),"isPaused, isPaused",False
setSaleAgent(address),,False
"createTokenWithoutPayment(address,uint256)",,False
"createTokenViaSaleAgent(address,uint256)",,False
buyTokens(),"minimalPayment, isBuyBlocked, rate, rate, totalEarnings, totalEarnings, rate",True
constructor(),"name, symbol, decimals, rate, minimalPayment, isBuyBlocked",False
setAddressForPayment(address),,False
"function()publicpayable{emitPayment(msg.sender,msg.value);}()",,True
pausePackSelling(),,False
unpausePackSelling(),,False
"addPack(uint256,uint256)",,False
buyPack(uint256),"totalEarnings, totalEarnings, totalEarningsForPackSale, totalEarningsForPackSale",True
withdraw(),,True
deletePack(uint256),,False
getAllPacks(),,False
getPackPrice(uint256),,False
