Function Name,State Variables Modified,Can Transfer Ether
changeOwner(address),,False
acceptOwnership(),,True
balanceOf(address),,False
"transfer(address,uint256)",,False
constructor(),"add, fee, bonus, token",True
addVideo(bytes32),"add, add, token, bonus, token, bonus, add",True
changeDonate(uint256),,True
donateVideo(bytes32),"token, bonus, token, bonus",True
changeAdd(uint256),add,False
changeFee(uint8),fee,False
changeBonus(uint8),bonus,False
getBalance(address),,False
getDonate(address),,False
withdrawEth(uint256),fee,True
function()payableexternal{require(msg.value>0);uint256deduct=msg.value*fee/100;owner.transfer(deduct);balances[msg.sender]+=msg.value-deduct;}(),fee,True
