Function Name,State Variables Modified,Can Transfer Ether
MasteriumToken(),"name, debug, symbol, debug, version, debug, decimals, contractOwner, contractCreationTimestamp, tokensale, TOKEN_MULTIPLIER, tokensale, tokensale, TOKEN_MULTIPLIER, tokensale, tokensale, TOKEN_MULTIPLIER, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, tokensale, debug, contractCreationTimestamp, DEBUG_STARTDELAY, PRODUCTION_START, _supplyTotal, tokensale, _supplyLastPayoutInterval, accounts, contractOwner, tokensale, accounts, contractOwner, masternode, masternode, miningRewardInSubtokensRaw1e18, masternode, TOKEN_MULTIPLIER, masternode, masternode, masternode, masternode, TOKEN_MULTIPLIER, masternode, maxMasternodes, masternode, masternode, masternode, masternode, masternode, masternode, interestConfig, debug, DEBUG_INTERVAL, PRODUCTION_INTERVAL, interestConfig, interestConfig, interestConfig, interestConfig, tokensale, interestRates, interestRates, interestRates, interestRates, interestRates, interestRates, interestRates, interestRates, interestRates, interestRates, interestRates, interestRates, stageFactors, stageFactors, stageFactors, stageFactors",True
"approve(address,uint256)","allowed, allowed",True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
"transfer(address,uint256)",masternode,True
"transferFrom(address,address,uint256)","allowed, allowed, masternode",True
totalSupply(),"_supplyTotal, _supplyLastPayoutInterval",False
balanceOf(address),"accounts, accounts",False
totalSupplyPretty(),"TOKEN_MULTIPLIER, TOKEN_MULTIPLIER",False
balanceOfPretty(address),"TOKEN_MULTIPLIER, TOKEN_MULTIPLIER",False
stageNow(),interestConfig,False
intervalNow(),"interestConfig, interestConfig, interestConfig",False
secToNextInterestPayout(),"interestConfig, interestConfig, interestConfig",False
interestNextInPercent(),"TOKEN_MULTIPLIER, TOKEN_MULTIPLIER, TOKEN_MULTIPLIER, TOKEN_MULTIPLIER, TOKEN_MULTIPLIER",False
secToNextMiningInterval(),,False
masternodeRegister(),"masternode, masternode, maxMasternodes, accounts, masternode, maxMasternodes, masternodes, masternodes, masternodes, masternodes, masternode, masternode, masternode, masternode, masternode",True
masternodeDeregister(),"masternode, masternode, masternode, tokensale, maxMasternodes, masternodes, masternode, masternodes, masternodes, masternodes, masternodes, masternode, masternode, masternode, masternode, masternode",True
masternodeMineTokens(),"masternode, interestConfig, maxMasternodes, masternodes, accounts, masternode, masternodes, miningRewardInSubtokensRaw1e18, accounts, accounts, _supplyTotal, _supplyTotal, masternode, masternode",True
masternodeTransferOwnership(address),"masternode, maxMasternodes, accounts, masternode, masternodes",True
masternodeIsValid(address),"maxMasternodes, masternode",False
"function()payablepublic{_buyTokens(msg.sender,true);}()",,True
tokensaleBuyTokens(),,True
tokensaleStageNow(),tokensale,False
tokensaleStageAt(uint256),TOKEN_MULTIPLIER,False
tokensaleTokensPerEtherNow(),tokensale,False
tokensaleSecondsToStart(),"tokensale, tokensale",False
"adminCommand(uint8,address,uint256)","tokensale, masternode, tokensale, contractOwner, TOKEN_MULTIPLIER, masternode, masternode, masternode, masternode, miningRewardInSubtokensRaw1e18, TOKEN_MULTIPLIER, tokensale, tokensale, tokensale, tokensale, contractOwner, contractOwner, debug, PRODUCTION_START, contractOwner",True
