Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"transfer(address,uint)",,False
balanceOf(address),,False
"mint(address,address,uint256)",,False
showMyTokenBalance(address),,False
"newCrowdsale(uint,address)","token, startTime, endTime, startTime, endTime, startTime, ownerAddresses, majorOwnerShares, owner",False
function()publicpayable{buy(msg.sender);}(),,True
buy(address),"isCrowdsaleStopped, isCrowdsalePaused, rate, weiRaised, weiRaised, token, coinPercentage",True
addPartner(address),"ownerAddresses, owner, ownerAddresses, ownerAddresses, ownerAddresses, owner, ownerAddresses, owner",False
removePartner(address),"ownerAddresses, ownerAddresses, owner, ownerAddresses, ownerAddresses, owner, ownerAddresses, owner",False
hasEnded(),endTime,False
showMyTokenBalance(address),token,False
setEndDate(uint256),endTime,False
setPriceRate(uint256),rate,False
pauseCrowdsale(),isCrowdsalePaused,False
resumeCrowdsale(),isCrowdsalePaused,False
stopCrowdsale(),isCrowdsaleStopped,False
startCrowdsale(),"isCrowdsaleStopped, startTime",False
tokensRemainingForSale(address),token,False
checkOwnerShare(address),"ownerAddresses, owner",False
changePartnerCoinPercentage(uint),coinPercentage,False
