Function Name,State Variables Modified,Can Transfer Ether
"recover(bytes32,bytes)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approveAndCall(address,uint,bytes)",,False
"receiveApproval(address,uint256,address,bytes)",,False
constructor(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
getAddress(bytes32),,False
getBool(bytes32),,False
getBytes(bytes32),,False
getInt(bytes32),,False
getString(bytes32),,False
getUint(bytes32),,False
"setAddress(bytes32,address)",,False
"setBool(bytes32,bool)",,False
"setBytes(bytes32,bytes)",,False
"setInt(bytes32,int)",,False
"setString(bytes32,string)",,False
"setUint(bytes32,uint)",,False
deleteAddress(bytes32),,False
deleteBool(bytes32),,False
deleteBytes(bytes32),,False
deleteInt(bytes32),,False
deleteString(bytes32),,False
deleteUint(bytes32),,False
"balanceOf(address,address)",,False
"transfer(address,address,uint)",,False
"transfer(address,address,address,uint,address,uint,uint,uint,bytes)",,False
constructor(),"_zer0netDb, _namespace, _predecessor, _zer0netDb, _predecessor, _predecessor, _revision",False
function()publicpayable{revert('Oops! Direct payments are NOT permitted here.');}(),,False
"giveRespect(address,uint)",,True
"giveRespect(address,uint,uint,uint,bytes)",,False
showRespectFor(address),,True
"showRespect(address,address)",,False
"getData(string,string)","_namespace, _zer0netDb",False
"getPermissions(string,address,address)","_namespace, _zer0netDb",False
getRevision(),_revision,False
getPredecessor(),_predecessor,False
getSuccessor(),_successor,False
"setData(string,string,bytes)",,False
"setData(string,string,bytes,uint,uint,bytes)",,False
"setPermissions(string,address,bytes)",,True
"setPermissions(string,address,address,bytes,uint,uint,bytes)",,False
setSuccessor(address),_successor,False
supportsInterface(bytes4),,False
"transferAnyERC20Token(address,uint)",owner,True
