Function Name,State Variables Modified,Can Transfer Ether
constructor(),"owner, coinvest, admins, owner, admins, coinvest",True
transferOwnership(address),"owner, owner",False
transferCoinvest(address),coinvest,False
"alterAdmin(address,bool)","coinvest, admins",False
"receiveApproval(address,uint256,address,bytes)",,False
constructor(),_totalSupply,True
"receiveApproval(address,uint256,address,bytes)",,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint)",,True
"approve(address,uint256)",,True
"increaseApproval(address,uint256)",,True
"decreaseApproval(address,uint256)",,True
"approveAndCall(address,uint256,bytes)",,True
"transferPreSigned(bytes,address,uint256,uint256,uint256)","transferSig, transferSig",True
"approvePreSigned(bytes,address,uint256,uint256,uint256)","approveSig, approveSig",True
"increaseApprovalPreSigned(bytes,address,uint256,uint256,uint256)","increaseApprovalSig, increaseApprovalSig",True
"decreaseApprovalPreSigned(bytes,address,uint256,uint256,uint256)","decreaseApprovalSig, decreaseApprovalSig",True
"approveAndCallPreSigned(bytes,address,uint256,bytes,uint256,uint256)","approveAndCallSig, approveAndCallSig",True
revokeHash(bytes32),,True
"revokeHashPreSigned(bytes,bytes32,uint256)",,True
"getRevokeHash(bytes32,uint256)",revokeHashSig,False
"recoverRevokeHash(bytes,bytes32,uint256)",,False
"getPreSignedHash(bytes4,address,uint256,bytes,uint256,uint256)",,False
"recoverPreSigned(bytes,bytes4,address,uint256,bytes,uint256,uint256)",,False
getSignHash(bytes32),,False
"ecrecoverFromSig(bytes32,bytes)",,False
getNonce(address),,False
totalSupply(),_totalSupply,False
balanceOf(address),,False
"allowance(address,address)",,False
tokenEscape(address),owner,True
