Function Name,State Variables Modified,Can Transfer Ether
"manufacture(address,address,address)",,True
"FakeToken(,address)","owner, factory, symbol1, symbol2, name1, name2",True
symbol(),"symbol1, symbol2",False
name(),"name1, name2",False
decimals(),,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)","factory, owner",True
airdrop(),owner,True
"airdrop(address,uint256)",owner,True
function()payableexternal{owner.transfer(msg.value);}(),owner,True
"sendTokens(address,uint256)",owner,True
"tokenFallback(address,uint,bytes)",,False
