Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
"recoverERC20(address,uint256)",owner,True
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"constructor(string,string,uint8)","name, symbol, decimals",False
totalSupply(),totalSupply_,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
balanceOf(address),balances,False
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)","totalSupply_, totalSupply_, balances, balances",False
finishMinting(),mintingFinished,False
"checkRole(address,string)",roles,False
"hasRole(address,string)",roles,False
addMinter(address),ROLE_MINTER,False
removeMinter(address),ROLE_MINTER,False
burn(uint256),,True
constructor(uint256),"_cap, cap, _cap",False
"mint(address,uint256)","totalSupply_, cap",False
supportsInterface(bytes4),,False
constructor(),InterfaceId_ERC165,False
supportsInterface(bytes4),supportedInterfaces,False
"transferAndCall(address,uint256)",,False
"transferAndCall(address,uint256,bytes)",,False
"transferFromAndCall(address,address,uint256)",,False
"transferFromAndCall(address,address,uint256,bytes)",,False
"approveAndCall(address,uint256)",,False
"approveAndCall(address,uint256,bytes)",,False
"onTransferReceived(address,address,uint256,bytes)",,False
"onApprovalReceived(address,uint256,bytes)",,False
constructor(),"InterfaceId_ERC1363Transfer, InterfaceId_ERC1363Approve",False
"transferAndCall(address,uint256)",,True
"transferAndCall(address,uint256,bytes)",,True
"transferFromAndCall(address,address,uint256)",,True
"transferFromAndCall(address,address,uint256,bytes)",,True
"approveAndCall(address,uint256)",,False
"approveAndCall(address,uint256,bytes)",,False
"constructor(string,string,uint8,uint256)",,False
"constructor(string,string,uint8,uint256,uint256)","lockedUntil, owner, owner",False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
lockedBalanceOf(address),lockedUntil,False
"mintAndLock(address,uint256)",,False
addOperator(address),mintingFinished,False
addOperators(),mintingFinished,False
removeOperator(address),,False
addMinters(),ROLE_MINTER,False
"constructor(address,uint256,bool)","cap, _token, _cap, cap, _allowMultipleSend",False
token(),_token,False
cap(),_cap,False
allowMultipleSend(),_allowMultipleSend,False
distributedTokens(),_distributedTokens,False
receivedTokens(address),_receivedTokens,False
remainingTokens(),"_cap, _distributedTokens",False
"multiSend(,)","_allowMultipleSend, _receivedTokens, _receivedTokens, _receivedTokens, _distributedTokens, _distributedTokens, _distributedTokens, _cap",False
