Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
constructor(uint256),cap,False
"mint(address,uint256)",cap,False
pause(),paused,False
unpause(),paused,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
constructor(uint256),paused,False
"constructor(address,uint256)","token, cap, totalAllocated",False
"allocate(,)","totalAllocated, cap, token, totalAllocated",False
"allocateEqual(,uint256)","totalAllocated, cap, token, token, totalAllocated",False
"constructor(uint256,address,)","rate, wallet, token",False
function()externalpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"weiRaised, weiRaised",True
"constructor(uint256,uint256)","openingTime, closingTime",False
hasClosed(),closingTime,False
finalize(),"isFinalized, isFinalized",False
constructor(address),"wallet, state",False
deposit(address),"state, deposited, deposited",False
close(),"state, state, wallet",True
enableRefunds(),"state, state",False
refund(address),"state, deposited, deposited",True
constructor(uint256),"vault, wallet, goal",False
claimRefund(),"isFinalized, vault",True
goalReached(),"weiRaised, goal",False
constructor(uint256),cap,False
capReached(),"weiRaised, cap",False
addToWhitelist(address),whitelist,False
addManyToWhitelist(),whitelist,False
removeFromWhitelist(address),whitelist,False
"constructor(,address,uint256)","token, beneficiary, releaseTime",False
release(),"releaseTime, token, token, beneficiary",False
"constructor(uint256,uint256,uint256,uint256,uint256,uint256,uint256,address,)","initialRate, minInvestmentInWei, maxInvestmentInWei",False
"doInitialDistribution(address,address,address)","teamWallet, token, closingTime, TEAM_LOCK_TIME, reservePool, token, closingTime, RESERVE_LOCK_TIME, token, advisorPool, token, ADVISOR_TOKENS, airdropPool, token, AIRDROP_TOKENS, token, teamWallet, TEAM_TOKENS, token, PRIZE_TOKENS, token, advisorPool, ADVISOR_TOKENS, token, airdropPool, AIRDROP_TOKENS, token, reservePool, RESERVE_TOKENS, token, SALE_TOKENS",False
updateRate(),"stages, stages, rate, initialRate, initialRate, bonuses, rate",False
"airdropTokens(,uint256)","token, airdropPool, token",False
"allocateAdvisorTokens(,)","token, advisorPool, token",False
transferTokenOwnership(address),token,True
"constructor(uint256,uint256,uint256,uint256,uint256,address,)",minInvestmentInWei,False
transferTokenOwnership(address),token,True
