Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
totalSupply(),totalSupply_,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
balanceOf(address),balances,False
burn(uint256),,True
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
MSCE(),"balances, totalSupply, ethFundDeposit, allowTransfers",True
increaseSoldSaleSupply(uint256),"soldSupply, totalSupply, soldSupply, soldSupply",False
decreaseSoldSaleSupply(uint256),"soldSupply, soldSupply, soldSupply",False
setEthFundDeposit(address),ethFundDeposit,False
transferETH(),"ethFundDeposit, ethFundDeposit",True
"setExchangeRate(uint256,uint256)","sellExchangeRate, buyExchangeRate",False
"setExchangeStatus(bool,bool)","stopSell, stopBuy",False
setAllowTransfers(bool),allowTransfers,False
setEnableInternalLock(bool),enableInternalLock,False
getAccountUnlockTime(address),releaseLockAccount,False
getAccountLockState(address),"enableInternalLock, internalLockAccount, releaseLockAccount, releaseLockAccount",False
setUnitTime(uint256),,False
"transferFrom(address,address,uint256)","allowTransfers, frozenAccount, frozenAccount",True
"transfer(address,uint256)","allowTransfers, frozenAccount, frozenAccount, balances, lockAmount, lockAmount, lockAmount, lockAmount, lockAmount",True
"approve(address,uint256)","allowTransfers, frozenAccount, frozenAccount, balances, lockAmount, lockAmount, lockAmount, lockAmount, lockAmount",True
"transferFromAdmin(address,address,uint256)","balances, balances, balances, balances, balances",False
buy(),"buyExchangeRate, stopBuy, balances, owner, balances, owner, balances, owner, balances, balances, soldSupply, soldSupply, buySupply, buySupply, owner",True
sell(uint256),"sellExchangeRate, stopSell, balances, balances, owner, balances, owner, frozenAccount, balances, owner, balances, owner, balances, balances, soldSupply, soldSupply, sellSupply, sellSupply, owner",True
setCrowdsaleStartTime(uint256),crowdsaleStartTime,False
setCrowdsaleEndTime(uint256),crowdsaleEndTime,False
setCrowdsaleTotal(uint256),crowdsaleTotal,False
"transferLockAmount(address,uint256)","balances, balances, balances, balances, balances, lockAmount, lockAmount",True
releasedAmount(address),"lockReleaseTime, lockAmount, lockStartTime, lockAmount",False
"createVote(bytes32,address,address,uint256,bool,string,string,uint256)","votes, voteToOwner",True
"mintToken(address,uint256)",,False
"destroyToken(address,uint256)",,False
"freezeAccount(address,bool)",,False
"lockInternalAccount(address,bool,uint256)",,False
setName(string),,True
setSymbol(string),,True
"transferFromAdmin(address,address,uint256)",balances,False
getVote(uint),votes,False
"voteXId(uint256,bool)","votes, votes, balances, balances, soldSupply, soldSupply, votes",True
