Function Name,State Variables Modified,Can Transfer Ether
constructor(),,True
transferOwnership(address),,False
transferOwnerMoney(address),,False
getOwnerMoney(),,False
getPrivAddress(),,False
constructor(),whitelist,True
addAddressToWhitelist(address),"whitelist, whitelist, countAddress, countAddress, countAddress",False
getWhitelistCheck(uint),,False
getInWhitelist(address),whitelist,False
getOwnerCEO(),,False
addAddressesToWhitelist(),,False
removeAddressFromWhitelist(address),"whitelist, whitelist",False
removeAddressesFromWhitelist(),,False
getNewRabbit(address),,False
"mixDNK(uint,uint,uint)",,False
isUIntPrivate(),,False
isPromoPause(),,False
"setTokenBunny(uint32,uint32,uint,uint,uint,uint,address,uint)",,False
"publicSetTokenBunnyTest(uint32,uint32,uint,uint,uint,uint,address,uint)",,False
"setMotherCount(uint32,uint)",,False
"setRabbitSirePrice(uint32,uint)",,False
"setAllowedChangeSex(uint32,bool)",,False
"setTotalSalaryBunny(uint32,uint)",,False
"setRabbitMother(uint32,)",,False
"setDNK(uint32,uint)",,False
"setGiffBlock(uint32,bool)",,False
"transferFrom(address,address,uint32)",,False
"setOwnerGennezise(address,bool)",,False
"setBirthCount(uint32,uint)",,False
"setBirthblock(uint32,uint)",,False
"setBirthLastTime(uint32,uint)",,False
getOwnerGennezise(address),,False
getAllowedChangeSex(uint32),,False
getRabbitSirePrice(uint32),,False
getTokenOwner(address),,False
getMotherCount(uint32),,False
getTotalSalaryBunny(uint32),,False
getRabbitMother(uint32),,False
getRabbitMotherSumm(uint32),,False
getDNK(uint32),,False
getSex(uint32),,False
isUIntPublic(),,False
balanceOf(address),,False
totalSupply(),,False
ownerOf(uint32),,False
getBunnyInfo(uint32),,False
getTokenBunny(uint32),,False
getGiffBlock(uint32),,False
getGenome(uint32),,False
getParent(uint32),,False
getBirthLastTime(uint32),,False
getBirthCount(uint32),,False
getBirthblock(uint32),,False
setToken(address),addressTokenBunny,False
setPriv(address),,False
isPriv(),,False
setPromoGen0(uint),promoGen0,False
setPromoPause(),"promoPause, promoPause",False
setBigPrice(uint),,False
constructor(),addressTokenBunny,False
ownerOf(uint32),,False
getSirePrice(uint32),commission_system,False
"transferFrom(address,address,uint32)",,True
isPauseSave(),,False
isPromoPause(),promoPause,True
setPauseSave(),,False
getTokenOwner(address),,False
getOwnerGennezise(address),,False
getBreed(uint32),cooldowns,False
getcoolduwn(uint32),cooldowns,False
getMotherCount(uint32),,False
getTotalSalaryBunny(uint32),,False
getRabbitMother(uint32),,False
getRabbitMotherSumm(uint32),,False
getRabbitDNK(uint32),,False
isUIntPublic(),,False
createGennezise(uint32),"totalGen0, promoGen0, totalGen0",True
"createChildren(uint32,uint32)",commission_system,True
"setRabbitSirePrice(uint32,uint)",,True
setSireStop(uint32),,True
getMoney(uint),,True
