Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(),"_owner, _balances, _owner, totalSupply, totalSupply, _administradores, _owner",True
isAdmin(address),_administradores,False
balanceOf(address),_balances,False
"allowance(address,address)",_allowed,False
"transfer(address,uint256)",,True
"approve(address,uint256)",_allowed,True
"transferFrom(address,address,uint256)","_allowed, _allowed, _allowed",True
"increaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
"decreaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
"setTransferible(address,address,bool)","_administradores, _notransferible",True
setNewAdmin(address),_administradores,False
constructor(),_guardCounter,False
constructor(),"_token, _owner",True
"setCampaign(uint256,uint128,bool)","_rate, _campaign, _state",False
getRate(),_rate,False
updateCustodian(address),_custodian,False
getCustodian(),_custodian,False
getOwner(),_owner,False
function()externalpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"_weiRaised, _weiRaised",True
getContribution(address),_contributions,False
"freedom(bool,uint)","_contributors, _token",False
