Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
"approveAndCall(address,uint256,bytes)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
setOwner(address),,False
getOwner(),,False
"setAdmin(address,bool)",admins,False
deposit(),balances,True
"depositToken(address,uint256)",balances,True
sendTips(),feeAddress,False
"sendTipsToken(address,uint256)",feeAddress,True
"transferTips(address,uint256,address,uint,uint8,bytes32,bytes32)","transfers, transfers, feeAddress",True
"transfer(address,uint256,address,address,uint,uint8,bytes32,bytes32)","transfers, transfers",True
"withdrawAdmin(address,uint256,address,uint,uint8,bytes32,bytes32)","withdrawn, withdrawn, balances",True
"withdraw(address,uint256)","tradesLocked, balances",True
setTakerFeeRate(uint256),"feeRateMin, takerFeeRate",False
setMakerFeeRate(uint256),"feeRateMin, makerFeeRate",False
setFeeAddress(address),feeAddress,False
"setDisableFees(address,uint256)",disableFees,False
"invalidateOrder(address,uint256)",disableFees,False
"setTokenDecimals(address,uint256)","tokenRegistered, tokenRegistered, tokenDecimals, decimals",False
tradesLock(address),tradesLocked,True
tradesUnlock(address),tradesLocked,True
"trade(,,,)","tradesLocked, traded, traded, orderFills, makerFeeRate, feeAddress, makerFeeRate, takerFeeRate, feeAddress, takerFeeRate, orderFills, orderFills",False
"tradeWithTips(,,,)","tradesLocked, traded, traded, orderFills, feeAddress, makerFeeRate, feeAddress, makerFeeRate, makerFeeRate, feeAddress, makerFeeRate, feeAddress, takerFeeRate, feeAddress, takerFeeRate, takerFeeRate, feeAddress, takerFeeRate, orderFills, orderFills",False
function()externalpayable{revert();}(),,False
