Function Name,State Variables Modified,Can Transfer Ether
constructor(),ceoAddress,False
hatchEggs(address),"initialized, referrals, referrals, referrals, EGGS_TO_HATCH_1SHRIMP, hatcheryShrimp, hatcheryShrimp, claimedEggs, lastHatch, claimedEggs, referrals, claimedEggs, referrals, marketEggs, marketEggs",True
sellEggs(),"initialized, claimedEggs, lastHatch, marketEggs, marketEggs",True
"calculateTrade(uint256,uint256,uint256)",,False
calculateEggSell(uint256),marketEggs,False
"calculateEggBuy(uint256,uint256)",marketEggs,False
calculateEggBuySimple(uint256),,False
devFee(uint256),,False
"seedMarket(uint256,uint256)","marketEggs, initialized, marketEggs",True
getFreeShrimp(),"initialized, hatcheryShrimp, lastHatch, hatcheryShrimp, STARTING_SHRIMP",True
getBalance(),,False
getMyShrimp(),hatcheryShrimp,True
getMyEggs(),claimedEggs,True
getEggsSinceLastHatch(address),"EGGS_TO_HATCH_1SHRIMP, lastHatch, hatcheryShrimp",False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
"receiveApproval(address,uint256,address,bytes)",,False
Owned(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
_0xBitcoinToken(),"symbol, name, decimals, _totalSupply, decimals, decimals, decimals, tokensMinted, rewardEra, maxSupplyForEra, _totalSupply, miningTarget, _MAXIMUM_TARGET, latestDifficultyPeriodStarted",True
"mint(uint256,bytes32)","challengeNumber, miningTarget, challengeNumber, challengeNumber, tokensMinted, tokensMinted, tokensMinted, maxSupplyForEra, lastRewardTo, lastRewardAmount, lastRewardEthBlockNumber, epochCount, challengeNumber",True
getChallengeNumber(),challengeNumber,False
getMiningDifficulty(),"_MAXIMUM_TARGET, miningTarget",False
getMiningTarget(),miningTarget,False
getMiningReward(),"decimals, rewardEra",False
"getMintDigest(uint256,bytes32,bytes32)",,True
"checkMintSolution(uint256,bytes32,bytes32,uint)",,True
totalSupply(),_totalSupply,False
balanceOf(address),,False
"transfer(address,uint)",,True
"approve(address,uint)",,True
"transferFrom(address,address,uint)",,True
"allowance(address,address)",,False
"approveAndCall(address,uint,bytes)",,True
function()publicpayable{revert();}(),,False
"transferAnyERC20Token(address,uint)",owner,True
