Function Name,State Variables Modified,Can Transfer Ether
"checkValidity(string,address,string)",,False
getDetails(string),,False
"isReserved(string,address,string,bytes32)",,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"decreaseApproval(address,uint)",,False
"increaseApproval(address,uint)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"constructor(string,string,uint8)","name, symbol, decimals",False
"verifyTransfer(address,address,uint256)",,False
"mint(address,uint256)",,False
burn(uint256),,False
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
"checkPermission(address,address,bytes32)",,False
"getModule(uint8,uint)",,False
"getModuleByName(uint8,bytes32)",,False
totalSupplyAt(uint256),,False
"balanceOfAt(address,uint256)",,False
createCheckpoint(),,False
getInvestorsLength(),,False
"constructor(address,uint256,uint256,uint256)","polyToken, setupCost, usageCost, monthlySubscriptionCost",False
deploy(bytes),,False
getType(),,False
getName(),,False
getDescription(),,False
getTitle(),,False
getInstructions(),,False
getTags(),,False
changeFactorySetupFee(uint256),"setupCost, setupCost",False
changeFactoryUsageFee(uint256),"usageCost, usageCost",False
changeFactorySubscriptionFee(uint256),"monthlySubscriptionCost, monthlySubscriptionCost",False
"constructor(address,address)","securityToken, factory, polyToken",True
getInitFunction(),,False
getPermissions(),,False
takeFee(uint256),"polyToken, factory",True
useModule(address),,False
registerModule(address),,False
getTagByModuleType(uint8),,False
"verifyTransfer(address,address,uint256,bool)",,False
unpause(),,False
pause(),,False
"checkPermission(address,address,bytes32)",,False
"changePermission(address,address,bytes32,bool)",,False
getDelegateDetails(address),,False
"burn(address,uint256)",,False
reclaimERC20(address),owner,True
getAddress(string),"storedAddresses, storedAddresses",False
"changeAddress(string,address)","storedAddresses, storedAddresses",False
constructor(address),polymathRegistry,False
updateFromRegistry(),"moduleRegistry, polymathRegistry, securityTokenRegistry, polymathRegistry, tickerRegistry, polymathRegistry, polyToken, polymathRegistry",False
"constructor(string,string,uint8,uint256,string,address)","tokenDetails, granularity",True
"addModule(address,bytes,uint256,uint256)",,False
"removeModule(uint8,uint8)","modules, modules, modules, modules, modules, modules, modules, modules",False
"getModule(uint8,uint)","modules, modules, modules",False
"getModuleByName(uint8,bytes32)","modules, modules, modules, modules, modules",False
withdrawPoly(uint256),"polyToken, owner",True
"changeModuleBudget(uint8,uint8,uint256)","modules, polyToken, modules, polyToken, modules, polyToken, modules, modules",False
updateTokenDetails(string),"tokenDetails, tokenDetails",False
changeGranularity(uint256),"granularity, granularity",False
"pruneInvestors(uint256,uint256)","investors, investors, investors, investorListed, investors, investors, investors, investors, investors",False
getInvestorsLength(),investors,False
freezeTransfers(),"freeze, freeze, freeze",False
unfreezeTransfers(),"freeze, freeze, freeze",False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"verifyTransfer(address,address,uint256)","freeze, modules, TRANSFERMANAGER_KEY, modules, TRANSFERMANAGER_KEY, modules, TRANSFERMANAGER_KEY",True
finishMintingIssuer(),finishedIssuerMinting,False
finishMintingSTO(),finishedSTOMinting,False
"mint(address,uint256)",,False
"mintMulti(,)",,False
"checkPermission(address,address,bytes32)","modules, PERMISSIONMANAGER_KEY, modules, PERMISSIONMANAGER_KEY, modules, PERMISSIONMANAGER_KEY",False
setTokenBurner(address),tokenBurner,False
burn(uint256),"tokenBurner, tokenBurner",True
createCheckpoint(),"currentCheckpointId, currentCheckpointId, currentCheckpointId, currentCheckpointId, currentCheckpointId",False
totalSupplyAt(uint256),checkpointTotalSupply,False
"balanceOfAt(address,uint256)",checkpointBalances,False
"deployToken(string,string,uint8,string,address,bool,address)",,False
"generateSecurityToken(string,string,string,bool)",,False
"setProtocolVersion(address,bytes32)",,False
getSecurityTokenAddress(string),,False
getSecurityTokenData(address),,False
isSecurityToken(address),,False
"constructor(address,address,uint256)",registrationFee,False
"generateSecurityToken(string,string,string,bool)","tickerRegistry, registrationFee, polyToken, registrationFee, protocolVersionST, protocolVersion, symbol, polymathRegistry, symbol, symbol, symbol",True
"addCustomSecurityToken(string,string,address,address,string,bytes32)","symbol, tickerRegistry, symbol, symbol, symbol, symbol",False
"setProtocolVersion(address,bytes32)","protocolVersion, protocolVersionST",False
getSecurityTokenAddress(string),,False
getSecurityTokenData(address),,False
isSecurityToken(address),,False
changePolyRegisterationFee(uint256),"registrationFee, registrationFee, registrationFee",False
unpause(),,False
pause(),,False
