Function Name,State Variables Modified,Can Transfer Ether
allowExchanger(address),"mintingFinished, exchangers, exchangers",False
"exchange(address,uint256,string,uint256)","mintingFinished, exchangers",True
finishMinting(),"mintingFinished, mintingFinished",False
"mint(address,uint256)","mintingFinished, totalSupply, totalSupply, holders",False
revokeExchanger(address),"mintingFinished, exchangers, exchangers",False
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
buyTokens(address),"deposited, whitelisted, rate, deposited, investors, weiRaised, weiRaised, token",True
extendTime(uint256),"finished, endTime, timeExtension, timeExtension, timeExtension, timeExtension, endTime, timeExtension",False
finish(),"finished, endTime, timeExtension, finished, finishedAt, token, token, owner, refunding",True
pause(),"paused, paused",False
refund(address),"finished, refunding, deposited, deposited, deposited, weiRefunded, weiRefunded",True
transferOwnership(address),"owner, owner",False
unpause(),"paused, paused",False
"whitelist(address,uint256)",whitelisted,False
withdraw(),"finished, finishedAt, wallet, wallet",True
goalReached(),"weiRaised, goal",False
