Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
totalSupply(),,False
availableSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),,False
availableSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
Token(),,False
"mint(address,uint256)",,False
pause(),paused,False
unpause(),paused,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
executeBeneficiary(uint),"token_, beneficiary_",True
executeCreator(uint),"token_, creator_",True
Bittwatt(),,False
enableTransfers(),,False
disableTransfers(),,False
setTokenAllocator(address),"_tokenAllocator, _tokenAllocator",False
"allocateTokens(address,uint)",,False
"allocateBulkTokens(,)",,False
getStatus(),"paused, owner",False
"createEscrow(address,uint,address)",escrowContracts,True
"createDate(uint,uint,uint,uint)",,False
