Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
"constructor(,uint256,address,address,address,address)","_token, _releaseTime, _beneficiary1, _beneficiary2, _beneficiary3, _beneficiary4",False
token(),_token,False
totalReleased(),_totalReleased,False
released(address),_released,False
beneficiary1(),_beneficiary1,False
beneficiary2(),_beneficiary2,False
beneficiary3(),_beneficiary3,False
beneficiary4(),_beneficiary4,False
releaseTime(),_releaseTime,False
release(),"releasePerStep, releasePerStep, releasePerStep, releasePerStep, _releaseTime, _releaseTime, _beneficiary1, _beneficiary2, _beneficiary3, _beneficiary4",False
