Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
"onTransfer(address,address,uint256)",,False
constructor(),,True
isOwner(address),,False
addOwner(address),,False
removeOwner(address),,False
isOperator(address),,False
addOperator(address),,False
removeOperator(address),,False
"mintNonFungibleSingleShort(uint128,address)",,False
"mintNonFungibleSingle(uint256,address)",,False
"mintNonFungibleShort(uint128,)",,False
"mintNonFungible(uint256,)",,False
"mintFungibleSingle(uint256,address,uint256)",,False
"mintFungible(uint256,,)",,False
isNonFungible(uint256),,False
ownerOf(uint256),,False
totalSupplyNonFungible(uint256),,False
totalSupplyNonFungibleShort(uint128),,False
uri(uint256),,False
"proxyTransfer721(address,address,uint256,bytes)",,False
"proxyTransfer20(address,address,uint256,uint256)",,False
"balanceOf(address,uint256)",,False
"safeTransferFrom(address,address,uint256,uint256,bytes)",,False
"setup(,uint256,string,string)","canSetup, erc1155, tokenId, tokenSymbol, tokenName",False
disableSetup(),canSetup,False
name(),tokenName,False
symbol(),tokenSymbol,False
totalSupply(),,False
balanceOf(address),"erc1155, tokenId",False
"allowance(address,address)",,False
"transfer(address,uint)",,True
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,True
"onTransfer(address,address,uint256)",erc1155,True
