Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
balanceOf(address),,False
"approve(address,uint256)",,True
"allowance(address,address)",,False
GameICO(),"totalSupply, decimals, isFinalized, etherProceedsAccount",True
"adjustTime(uint256,uint256,uint256,uint256,uint256,uint256)","etherProceedsAccount, window0StartTime, window0EndTime, window1StartTime, window1EndTime, window2StartTime, window2EndTime",True
"adjustSupply(uint256,uint256,uint256)","etherProceedsAccount, window0TotalSupply, decimals, window1TotalSupply, decimals, window2TotalSupply, decimals",True
"adjustCap(uint256,uint256,uint256,uint256)","etherProceedsAccount, preservedTokens, decimals, window0TokenCreationCap, decimals, window1TokenCreationCap, decimals, window2TokenCreationCap, decimals",True
"adjustRate(uint256,uint256,uint256)","etherProceedsAccount, window0TokenExchangeRate, window1TokenExchangeRate, window2TokenExchangeRate",True
setProceedsAccount(address),"etherProceedsAccount, etherProceedsAccount",True
setMultiWallet(address),"etherProceedsAccount, multiWallet",True
setPreICOLimit(uint256),"etherProceedsAccount, preICOLimit",True
setInstantTransfer(bool),"etherProceedsAccount, instantTransfer",True
setAllowTransfer(bool),etherProceedsAccount,True
addOwner(address),"etherProceedsAccount, isOwner, owners",True
removeOwner(address),"etherProceedsAccount, isOwner",True
"preICOPush(address,uint256)","etherProceedsAccount, window0TotalSupply, window0TokenCreationCap, window0TotalSupply",True
lockedBalanceOf(address),,False
initLockedBalanceOf(address),,False
"unlockBalance(address,uint256)",,False
function()payablepublic{create();}(),,False
withDraw(uint256),"etherProceedsAccount, multiWallet, multiWallet, etherProceedsAccount",True
finalize(),"isFinalized, etherProceedsAccount, isFinalized, multiWallet, multiWallet, totalSupply, window0TotalSupply, window1TotalSupply, window2TotalSupply, multiWallet, etherProceedsAccount, totalSupply, window0TotalSupply, window1TotalSupply, window2TotalSupply, etherProceedsAccount",True
