Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"allowance(address,address)",,False
"approve(address,uint256)",,False
"StandardToken(string,string,uint8)","name, symbol, decimals",False
balanceOf(address),,False
"transfer(address,uint256)",,True
"multiTransfer(,)",,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"allowance(address,address)",allowed,False
"approve(address,uint256)",allowed,True
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)","totalSupply, totalSupply",False
finishMinting(),mintingFinished,False
CappedToken(uint256),cap,False
"mint(address,uint256)","totalSupply, cap",False
burn(uint256),"totalSupply, totalSupply",True
Token(),,False
"transfer(address,uint256)",,True
"multiTransfer(,)",,False
"transferFrom(address,address,uint256)",,True
"burnOwner(address,uint256)","totalSupply, totalSupply",False
Crowdsale(),"token, steps, steps, steps, steps",False
function()payablepublic{purchase();}(),,False
setTokenRate(uint),"crowdsaleClosed, steps, currentStep",False
purchase(),"crowdsaleClosed, steps, currentStep, token, token, token, steps, currentStep, steps, currentStep, purchaseBalances, purchaseBalances, token",True
"issue(address,uint256)","crowdsaleClosed, steps, currentStep, steps, currentStep, canSell, canSell, token",False
sell(uint256),"crowdsaleClosed, canSell, token, steps, currentStep, canSell, canSell, token",True
refund(),"crowdsaleRefund, purchaseBalances, purchaseBalances, purchaseBalances, refundedWei, refundedWei",True
nextStep(),"crowdsaleClosed, steps, currentStep, currentStep, currentStep",False
closeCrowdsale(),"crowdsaleClosed, beneficiary, token, beneficiary, token, token, token, beneficiary, crowdsaleClosed",True
refundCrowdsale(),"crowdsaleClosed, crowdsaleRefund, crowdsaleClosed",False
