Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
"addAddressToAccessControl(address,uint8)",roles,False
"removeAddressFromAccessControl(address,uint8)",roles,False
"checkRole(address,uint8)",roles,False
"hasRole(address,uint8)",roles,False
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
constructor(),,False
function()external{}(),,False
reclaimEther(),owner,True
pause(),paused,False
unpause(),paused,False
supportsInterface(bytes4),,False
balanceOf(address),,False
ownerOf(uint256),,False
exists(uint256),,False
"approve(address,uint256)",,False
getApproved(uint256),,False
"setApprovalForAll(address,bool)",,False
"isApprovedForAll(address,address)",,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
totalSupply(),,False
"tokenOfOwnerByIndex(address,uint256)",,False
tokenByIndex(uint256),,False
name(),,False
symbol(),,False
tokenURI(uint256),,False
"onERC721Received(address,address,uint256,bytes)",,False
constructor(),InterfaceId_ERC165,False
supportsInterface(bytes4),supportedInterfaces,False
constructor(),"InterfaceId_ERC721, InterfaceId_ERC721Exists",False
balanceOf(address),ownedTokensCount,False
ownerOf(uint256),"tokenOwner, owner, owner",False
exists(uint256),"tokenOwner, owner",False
"approve(address,uint256)","owner, owner, owner, tokenApprovals, owner",True
getApproved(uint256),tokenApprovals,False
"setApprovalForAll(address,bool)",operatorApprovals,True
"isApprovedForAll(address,address)",operatorApprovals,False
"transferFrom(address,address,uint256)",,True
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,True
"constructor(string,string)","name_, symbol_, InterfaceId_ERC721Enumerable, InterfaceId_ERC721Metadata",False
name(),name_,False
symbol(),symbol_,False
tokenURI(uint256),tokenURIs,False
"tokenOfOwnerByIndex(address,uint256)",ownedTokens,False
totalSupply(),allTokens,False
tokenByIndex(uint256),allTokens,False
constructor(),koCommissionAccount,True
"createActiveEdition(uint256,bytes32,uint256,uint256,uint256,address,uint256,uint256,string,uint256)",,False
"createInactiveEdition(uint256,bytes32,uint256,uint256,uint256,address,uint256,uint256,string,uint256)",,False
"createActivePreMintedEdition(uint256,bytes32,uint256,uint256,uint256,address,uint256,uint256,string,uint256,uint256)",,False
"createInactivePreMintedEdition(uint256,bytes32,uint256,uint256,uint256,address,uint256,uint256,string,uint256,uint256)",,False
purchase(uint256),,True
"purchaseTo(address,uint256)",editionNumberToEditionDetails,False
"mint(address,uint256)",editionNumberToEditionDetails,False
"underMint(address,uint256)","editionNumberToEditionDetails, editionNumberToEditionDetails",False
burn(uint256),"tokenIdToEditionNumber, tokenIdToEditionNumber, editionNumberToTokenIds, editionNumberToTokenIdIndex",False
"batchTransfer(address,)",,False
"batchTransferFrom(address,address,)",,True
updateTokenBaseURI(string),tokenBaseURI,False
updateKoCommissionAccount(address),koCommissionAccount,False
"updateEditionTokenURI(uint256,string)",editionNumberToEditionDetails,False
"updatePriceInWei(uint256,uint256)",editionNumberToEditionDetails,False
"updateArtistCommission(uint256,uint256)",editionNumberToEditionDetails,False
"updateArtistsAccount(uint256,address)","editionNumberToEditionDetails, editionNumberToArtistIndex, artistToEditionNumbers, artistToEditionNumbers, artistToEditionNumbers, editionNumberToArtistIndex",False
"updateEditionType(uint256,uint256)","editionNumberToEditionDetails, editionTypeToEditionNumber, editionNumberToTypeIndex, editionTypeToEditionNumber, editionTypeToEditionNumber, editionNumberToTypeIndex",False
"updateActive(uint256,bool)",editionNumberToEditionDetails,False
"updateTotalSupply(uint256,uint256)",editionNumberToEditionDetails,False
"updateTotalAvailable(uint256,uint256)","editionNumberToEditionDetails, totalNumberAvailable, totalNumberAvailable",False
"updateStartDate(uint256,uint256)",editionNumberToEditionDetails,False
"updateEndDate(uint256,uint256)",editionNumberToEditionDetails,False
"updateOptionalCommission(uint256,uint256,address)",editionNumberToEditionDetails,False
"setTokenURI(uint256,string)",,False
editionOfTokenId(uint256),tokenIdToEditionNumber,False
editionsOfType(uint256),editionTypeToEditionNumber,False
artistsEditions(address),artistToEditionNumbers,False
tokensOfEdition(uint256),editionNumberToTokenIds,False
tokensOf(address),ownedTokens,False
editionExists(uint256),editionNumberToEditionDetails,False
editionOptionalCommission(uint256),,False
detailsOfEdition(uint256),"editionNumberToEditionDetails, tokenBaseURI",False
tokenData(uint256),"tokenIdToEditionNumber, editionNumberToEditionDetails",False
tokenURI(uint256),"tokenBaseURI, tokenURIs",False
tokenURISafe(uint256),"tokenBaseURI, tokenURIs",False
purchaseDatesToken(uint256),tokenIdToEditionNumber,False
priceInWeiToken(uint256),tokenIdToEditionNumber,False
editionData(uint256),editionNumberToEditionDetails,False
editionType(uint256),editionNumberToEditionDetails,False
purchaseDatesEdition(uint256),editionNumberToEditionDetails,False
artistCommission(uint256),editionNumberToEditionDetails,False
priceInWeiEdition(uint256),editionNumberToEditionDetails,False
tokenURIEdition(uint256),"editionNumberToEditionDetails, tokenBaseURI",False
editionActive(uint256),editionNumberToEditionDetails,False
totalRemaining(uint256),editionNumberToEditionDetails,False
totalAvailableEdition(uint256),editionNumberToEditionDetails,False
totalSupplyEdition(uint256),editionNumberToEditionDetails,False
