Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
setAllowedAddress(address),allowedAddress,False
transferAdminship(address),"admin, admin",False
setTransferLockFree(),"lockTransfer, lockTransfer, lockTransfer",False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"batch(,)",,True
Asset(),"totalSupply, decimals, decimals, decimals, lockTransfer, lockTransfer, totalSupply",True
function()public{revert();}(),,False
