Function Name,State Variables Modified,Can Transfer Ether
constructor(),"owner, pendingOwner",True
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
setDefaultFee(uint256),"defaultFee, defaultFee, defaultFee",False
"setFee(address,uint256)","fees, fees",False
removeFee(address),"fees, fees",False
addStablecoin(address),whitelist,False
removeStablecoin(address),whitelist,False
"computeStablecoinFee(uint256,address)",fees,False
"computeFee(uint256,uint256)",,False
"addAllowance(address,address,uint256)","allowances, allowances",False
"subAllowance(address,address,uint256)","allowances, allowances",False
"setAllowance(address,address,uint256)",allowances,False
"addBalance(address,uint256)","balances, balances",False
"subBalance(address,uint256)","balances, balances",False
"setBalance(address,uint256)",balances,False
addTotalSupply(uint256),"totalSupply, totalSupply",False
subTotalSupply(uint256),"totalSupply, totalSupply",False
setTotalSupply(uint256),totalSupply,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
unlock(),isMethodEnabled,False
lock(),isMethodEnabled,False
pause(),paused,False
unpause(),paused,False
"addPermission(bytes4,string,string,string)",permissions,False
removePermission(bytes4),permissions,False
"setUserPermission(address,bytes4)","permissions, userPermissions",False
"removeUserPermission(address,bytes4)","permissions, userPermissions",False
addValidator(address),validators,False
removeValidator(address),validators,False
isValidator(address),validators,False
isPermission(bytes4),permissions,False
getPermission(bytes4),"permissions, permissions, permissions, permissions",False
"hasUserPermission(address,bytes4)",userPermissions,False
setMinter(address),,False
removeMinter(address),,False
setBlacklistSpender(address),"APPROVE_BLACKLISTED_ADDRESS_SPENDER_SIG, APPROVE_BLACKLISTED_ADDRESS_SPENDER_SIG",False
removeBlacklistSpender(address),"APPROVE_BLACKLISTED_ADDRESS_SPENDER_SIG, APPROVE_BLACKLISTED_ADDRESS_SPENDER_SIG",False
setBlacklistDestroyer(address),"DESTROY_BLACKLISTED_TOKENS_SIG, DESTROY_BLACKLISTED_TOKENS_SIG",False
removeBlacklistDestroyer(address),"DESTROY_BLACKLISTED_TOKENS_SIG, DESTROY_BLACKLISTED_TOKENS_SIG",False
setBlacklistedUser(address),,False
removeBlacklistedUser(address),,False
isBlacklistedUser(address),BLACKLISTED_SIG,False
isBlacklistSpender(address),APPROVE_BLACKLISTED_ADDRESS_SPENDER_SIG,False
isBlacklistDestroyer(address),DESTROY_BLACKLISTED_TOKENS_SIG,False
isMinter(address),"MINT_SIG, MINT_CUSD_SIG",False
constructor(address),"regulator, tokenStorage",False
"mint(address,uint256)",,False
burn(uint256),,True
"approve(address,uint256)",tokenStorage,True
"increaseApproval(address,uint256)",,True
"decreaseApproval(address,uint256)",,True
"destroyBlacklistedTokens(address,uint256)","tokenStorage, tokenStorage",False
approveBlacklistedAddressSpender(address),tokenStorage,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",tokenStorage,True
setRegulator(address),"regulator, regulator, regulator",False
blacklisted(),,False
"allowance(address,address)","tokenStorage, owner",False
totalSupply(),tokenStorage,False
balanceOf(address),tokenStorage,False
"constructor(address,address)","regulator, cusdAddress",False
"mintCUSD(address,uint256)",,False
convertWT(uint256),,True
setCUSDAddress(address),"cusdAddress, cusdAddress, cusdAddress",False
constructor(address),"regulator, tokenStorage_CD",False
listToken(address),tokenStorage_CD,False
unlistToken(address),tokenStorage_CD,False
"setFee(address,uint256)",tokenStorage_CD,False
removeFee(address),tokenStorage_CD,False
setDefaultFee(uint256),tokenStorage_CD,False
"mint(address,uint256)",,False
"convertCarbonDollar(address,uint256)",tokenStorage_CD,True
"burnCarbonDollar(address,uint256)",,True
releaseCarbonDollar(uint256),"tokenStorage, tokenStorage",True
computeFeeRate(address),,False
isWhitelisted(address),tokenStorage_CD,False
getFee(address),tokenStorage_CD,False
getDefaultFee(),tokenStorage_CD,False
constructor(address),,False
"metaIncreaseApproval(address,uint256,bytes,uint256,uint256)","regulator, replayNonce, replayNonce",True
"metaTransfer(address,uint256,bytes,uint256,uint256)","regulator, replayNonce, replayNonce",True
"metaBurnCarbonDollar(address,uint256,bytes,uint256,uint256)","regulator, replayNonce, replayNonce",True
"metaTransferHash(address,uint256,uint256,uint256)",,False
"metaApproveHash(address,uint256,uint256,uint256)",,False
"metaBurnHash(address,uint256,uint256,uint256)",,False
